Index	Level	Language	Content	Sentence	Errors	Erroneous_words	Comment
114	B1+	Éwé	Wat wilde je worden toen je klein was? Toen ik klein was, wilde ik een journalist reporter. Ik had de droom om de wereld door de reizen en het nieuws te verslaan uit de meest afgelegen plaatsen van de wereld. Ik heb, inderdaad en dit doel, communicatie gehad tijdens mijn eerste twee aan de universiteit. Ik vond het heel interessant maar voortdurende mijn universitair cursus heb ik gevoelde een andere roeping dat ik spannender heb gevonden. Dus veranderde ik van studierichting, ik ging de geschiedenis studeren. Ik blijf toch reizen om nieuws te jachten door de wereld maar niet meer door de ruimte maar de tijd. Een ik vink geleden altijd spannend dan tegenwoordig. Wat is echt belangrijk in het leven? Het motto van leven is Carpe Diem, want ik denk dat we een enkel leven hebben. Zo moeten we dat goed leven door blij te zijn. Vele mensen lijden aan depressie omdat zij pieken meer over hun leven in plaats van het gewoon genieten. Sommige zijn bang van de toekomst terwijl sommige altijd in de geleden blijven. Allemaal missen ze het heden. Carpe Diem bedoelt dus geniet van de huidige. Het is het belangrijkste. Wat wil je nog leren in dit leven? Leren, volgens me, is het hoofddoel van ons leven. Als we stoppen met leren, stoppen we ook met leven. Iets wat ik graag wil blijven leren is mensen. Ik wil meer mensen, beginnen mijzelf. Mensen ontmoeten breng altijd iets nieuw voor iedereen dat deze ontmoeting deelneemt. Wat zou je veranderen als je leider werd van dit land? Als ik de leider van dit land werd, zou ik meer van de arme en ziekte zorgen. Volgens me, de zorg en de attentie we geven aan de zwaksten van onze maatschappij tonen onze mensheid aan. In mijn ideaal land, zou niemand eenzaam voelen; en solidariteit moet de basisregel zijn.   Wat zou je doen als je meer tijd had? Waarom zeg jij als ik meer heb. Ik denk niet dat ik zo snel zal sterven hoewel niet kennen echt zijn morgen. Maar ik vind dat ik nog jong ben met een goede gezondheid. Dus, vind ik dat ik heb genoeg tijd en ben aan het doen wat ik denk nuttig voor mijn leven dat is mensen helpen. Welke rol speelt humor in je leven? Humor is belangrijk voor. Er is echt vele lijden in onze en humor is een mooie manier om een wat glimlacht op de gezichten van anderen brengen. En het is heel gezond om te lachen. Ik mis geen omstandigheid om zo te doen.	Dus, vind ik dat ik heb genoeg tijd en ben aan het doen wat ik denk nuttig voor mijn leven dat is mensen helpen.	Dus,  (I) vind ik dat ik heb  (P) genoeg tijd en ben  (P) aan het doen wat ik denk  (√) nuttig voor mijn leven  (√)  (//) dat is mensen helpen	heb	In een bijzin staan alle werkwoorden in de eindgroep.
116	A2+	Arabisch	Dag Anna, Ja hoor met mij alles oke, en met jullie? Hopelijk gaat alles oke met juliie? En voor mijn nieuwe werk is alles in orde. Ja, dit is een heel goed idee voor mij. Ik wil met jullie meedoen en ik zal zeker een kaart kopen om met jullie mee te gaan. Nu zal ik Paolo een e-mail sturen om hem uit te nodigen,  en dan zal ik naar de link gaan en lees de alle info, daarna zal ik een abonnement nemen. Hartelijk bedankt voor het bericht en de uitnodiging. Groetjes  Bert	Nu zal ik Paolo een e-mail sturen om hem uit te nodigen,  en dan zal ik naar de link gaan en lees de alle info, daarna zal ik een abonnement nemen.	Nu zal ik Paolo een e-mail sturen om hem uit te nodigen, en dan zal ik naar de link gaan en lees (G)  (P)  de (F)  alle info, daarna zal ik een abonnement nemen		
117	B1+	Turks	Hoe meer partijen het geld aan de advertenties uitgeven, hoe meer kans ze hebben om hun campagnes te voeren. Ook al hebben ze het recht om het geld te spenderen, toch zijn ze plicht om te bezuinigen. Ze spenderen het geld dat het volk heeft, bijgevolg moet er een maximum staan op de advertentie-uitgaven. Volgens mij mag er publiek geld om basis campagnes te organiseren. Ze moeten hun geld verzamelen opdat ze in extra advertenties zouden investeren. In mijn land zijn er enkele politici veroordeeld wegens corruptie omdat ze dit geld aan hun prive leven hebben uitgegeven.  Ik ben ervan overtuigd dat sociale media een brug tussen de politici en de burgers kunnen worden. Door het gebruik van sociale media worden de kandidaten bekend en kunnen ze jongeren bereiken. Uit onderzoek blijkt dat sociale media een positieve invloed hebben op het stijgen van de opkomstcijfers. Ik volg geen politice op sociale media sinds ik mijn land verliet. Naar mijn mening zijn de politici de grootste leugenaars ter wereld behalve de diegenen wie van hun bevoegheiden bewust zijn.	Hoe meer partijen het geld aan de advertenties uitgeven, hoe meer kans ze hebben om hun campagnes te voeren.	Hoe meer partijen het (F)  geld  (P) aan de advertenties uitgeven, hoe meer kans ze hebben om hun campagnes te voeren (√)	geld	
118	B1+	Perzisch	Optie 2: De Belgische corona-app Ten eerste, vind ik de applicatie nuttig en efficiënt om mensen te beschermen tegen het coronavirus. Als je spoor de mensen op, dan waarschuw je met een seintje en daarom zal je niet gaan naar de buurt waar er iemand is geweest die corona heeft.  Ten tweede, volgens mij zijn de voordelen van zo'n app bivoorbeeld gebeurd dit anoniem. Deze app adviseer je over wat je moet doen om jezelf en anderen te beschermen. Als je in contact kwam met iemand die positief werd getest op het coronavirus, dan ben je sneller op de hoogte met coronaalert. Snelheid is heel belangrijk om de verdere verspreiding van het coronavirus te voorkomen. Als je besmet bent, dan informeer je coronaalert wanneer het resultaat beschikbaar is. Ik vind niks als een nadeel over deze app en ik denk dat hij heel interessant en slim is.  Ten derde, denk ik dat mensen een recht moeten hebben om te kiezen of ze de apps willen installeren of nee. Ik vind het niet goed dat de overheid de mensen verplicht om apps te installeren.  Ten slotte, Zou ik de app installeren zodat ik op de hoogte kan zijn.      Hallo Elke, Alvast bedankt voor jouw feedback en tijd ;-)	Als je spoor de mensen op, dan waarschuw je met een seintje en daarom zal je niet gaan naar de buurt waar er iemand is geweest die corona heeft.	Als je spoor (P)  de mensen op, dan waarschuw (W)  je met een seintje en daarom zal je niet gaan naar de buurt waar er iemand is geweest die corona heeft (F)	spoor	In een bijzin staan alle werkwoorden in de eindgroep. --> opspoort
119	B1+	Russisch	Interview is niet alleen een interessante ervaring, maar ook een moment wanneer kan er iemand het vorige en toekomstige jaren nadenken. Als de campuskrant me had geïnterviewd, dan zou ik de volgende hebben verteld. Zolang ik me kan herinneren, was ik stapelgek op wetenschappelijke kennis en moderne technologieën. Daarom heb ik een beroep van onderzoeker gekozen om zich in scheikunde te specialiseren. Doordat ik denk dat de wetenschap de maatschappij moet helpen om onze levens te veranderen, ging ik buiten de academische wereld om bij het ecologische bedrijf te werken. Het is geen geheim dat onze moderne en veilige levensstijl op de vijf hoekstenen gebaseerd: het onderwijs, de diplomatie, het geneeskunde, de engineering (?ingenieurswezen) en de wetenschap. Zonder twijfel, naarmate we meer over de wereld weten, begrijpen we beter de ingewikkeldheid van het milieu. Door het actieve verbruik hebben de bronnen van natuurlijke materialen drastisch verminderd tijdens de vorige eeuw. Voor de preventie van de toekomstige ecologische en sociale crisis, moeten alle mensen samenwerken en daarom zal de diplomatie het belangrijkst zijn om dit probleem samen  te starten op te lossen en om met andere landen over het te onderhandelen. Dus als ik de premier van België was geweest, dan zou ik meer aandacht aan deze vijf hoekstenen zijn besteed. Ook deze ontwikkeling zal nieuwe mogelijkheden voor de burgers brengen: vacatures, een verbetering van de infrastructuur, de verhoging van de effectiviteit van het werk en zo voort. Voor alle mensen, voorziet een vrije tijd niet alleen een ontspanning, maar ook mogelijkheden om voor zichzelf te zorgen en om zich te amuseren. Volgens mij, helpen de hobby's de routine te doorbreken en met stress om te gaan. Sinds mijn schooltijd, zwem ik graag als ik een vrije tijd heb omdat het me helpt om gezond te blijven. Tenslotte, zou ik de interviewer hebben gezegd: "Dank u wel voor uw tijd en de interesse in mijn persoon. Ik hoop u weer te ontmoeten."	Interview is niet alleen een interessante ervaring, maar ook een moment wanneer kan er iemand het vorige en toekomstige jaren nadenken.	(√) Interview is niet alleen een interessante ervaring, maar ook een moment wanneer (W)  kan (P)  er iemand  (√) het vorige  (√) en  (√) toekomstige jaren nadenken	kan	In een bijzin staan alle werkwoorden in de eindgroep.
120	B1+	Russisch	Interview is niet alleen een interessante ervaring, maar ook een moment wanneer kan er iemand het vorige en toekomstige jaren nadenken. Als de campuskrant me had geïnterviewd, dan zou ik de volgende hebben verteld. Zolang ik me kan herinneren, was ik stapelgek op wetenschappelijke kennis en moderne technologieën. Daarom heb ik een beroep van onderzoeker gekozen om zich in scheikunde te specialiseren. Doordat ik denk dat de wetenschap de maatschappij moet helpen om onze levens te veranderen, ging ik buiten de academische wereld om bij het ecologische bedrijf te werken. Het is geen geheim dat onze moderne en veilige levensstijl op de vijf hoekstenen gebaseerd: het onderwijs, de diplomatie, het geneeskunde, de engineering (?ingenieurswezen) en de wetenschap. Zonder twijfel, naarmate we meer over de wereld weten, begrijpen we beter de ingewikkeldheid van het milieu. Door het actieve verbruik hebben de bronnen van natuurlijke materialen drastisch verminderd tijdens de vorige eeuw. Voor de preventie van de toekomstige ecologische en sociale crisis, moeten alle mensen samenwerken en daarom zal de diplomatie het belangrijkst zijn om dit probleem samen  te starten op te lossen en om met andere landen over het te onderhandelen. Dus als ik de premier van België was geweest, dan zou ik meer aandacht aan deze vijf hoekstenen zijn besteed. Ook deze ontwikkeling zal nieuwe mogelijkheden voor de burgers brengen: vacatures, een verbetering van de infrastructuur, de verhoging van de effectiviteit van het werk en zo voort. Voor alle mensen, voorziet een vrije tijd niet alleen een ontspanning, maar ook mogelijkheden om voor zichzelf te zorgen en om zich te amuseren. Volgens mij, helpen de hobby's de routine te doorbreken en met stress om te gaan. Sinds mijn schooltijd, zwem ik graag als ik een vrije tijd heb omdat het me helpt om gezond te blijven. Tenslotte, zou ik de interviewer hebben gezegd: "Dank u wel voor uw tijd en de interesse in mijn persoon. Ik hoop u weer te ontmoeten."	Zonder twijfel, naarmate we meer over de wereld weten, begrijpen we beter de ingewikkeldheid van het milieu.	Zonder twijfel, naarmate we meer over de wereld weten, begrijpen we beter de ingewikkeldheid van het milieu (P)	begrijpen we beter de ingewikkeldheid van het milieu	
121	B1+	Russisch	Interview is niet alleen een interessante ervaring, maar ook een moment wanneer kan er iemand het vorige en toekomstige jaren nadenken. Als de campuskrant me had geïnterviewd, dan zou ik de volgende hebben verteld. Zolang ik me kan herinneren, was ik stapelgek op wetenschappelijke kennis en moderne technologieën. Daarom heb ik een beroep van onderzoeker gekozen om zich in scheikunde te specialiseren. Doordat ik denk dat de wetenschap de maatschappij moet helpen om onze levens te veranderen, ging ik buiten de academische wereld om bij het ecologische bedrijf te werken. Het is geen geheim dat onze moderne en veilige levensstijl op de vijf hoekstenen gebaseerd: het onderwijs, de diplomatie, het geneeskunde, de engineering (?ingenieurswezen) en de wetenschap. Zonder twijfel, naarmate we meer over de wereld weten, begrijpen we beter de ingewikkeldheid van het milieu. Door het actieve verbruik hebben de bronnen van natuurlijke materialen drastisch verminderd tijdens de vorige eeuw. Voor de preventie van de toekomstige ecologische en sociale crisis, moeten alle mensen samenwerken en daarom zal de diplomatie het belangrijkst zijn om dit probleem samen  te starten op te lossen en om met andere landen over het te onderhandelen. Dus als ik de premier van België was geweest, dan zou ik meer aandacht aan deze vijf hoekstenen zijn besteed. Ook deze ontwikkeling zal nieuwe mogelijkheden voor de burgers brengen: vacatures, een verbetering van de infrastructuur, de verhoging van de effectiviteit van het werk en zo voort. Voor alle mensen, voorziet een vrije tijd niet alleen een ontspanning, maar ook mogelijkheden om voor zichzelf te zorgen en om zich te amuseren. Volgens mij, helpen de hobby's de routine te doorbreken en met stress om te gaan. Sinds mijn schooltijd, zwem ik graag als ik een vrije tijd heb omdat het me helpt om gezond te blijven. Tenslotte, zou ik de interviewer hebben gezegd: "Dank u wel voor uw tijd en de interesse in mijn persoon. Ik hoop u weer te ontmoeten."	Ook deze ontwikkeling zal nieuwe mogelijkheden voor de burgers brengen: vacatures, een verbetering van de infrastructuur, de verhoging van de effectiviteit van het werk en zo voort.	Ook deze ontwikkeling zal  (P) nieuwe mogelijkheden voor de burgers  (√) brengen: vacatures, een verbetering van de infrastructuur, de verhoging van de effectiviteit van het werk en zo voort (S)	zal	inversie
122	B1	Roemeens	1. Gisteren avond dienen we naar op bezoek gaan, daarom had ik geen tijd om de opdracht te einden. 2. Ik heb flauw idee over wat gat he gebeuren vandaag in de les. 3. De uitvinder van de corona vaccin is een grote personaliteit geworden. 4. Ik moet dringend vertrekken, sorry dat ik geen tijd heb om met jou te babellen. 5. Peter is eindelijk aan bod gekomen voor de vaccinatie.	Ik heb flauw idee over wat gat he gebeuren vandaag in de les.	Ik heb flauw idee over (F)  wat gat (P)  (S)  he (W)  gebeuren vandaag in de les	gat	In een bijzin staan alle werkwoorden in de eindgroep.
123	B1+	Thai	1. Ik ben bezorgd dat de bevalling van mijn zus niet goed kan verlopen.  2. Mijn vader beloofde trouw aan mijn moeder te zijn, maar hij kon dat niet. Hij heeft een minares. 3. Als één van het echtpaar overlijdt, krijgt de ander een erfenis.  4. Hij schaamde zich dood dat zijn afkomst onduidelijk is.  5. Ze heeft al 2 jaren verloofd gehad maar haar huwelijk werd gecancelleerd door de coronacrisis. Ze moet meer verdragen en wachten totdat de situatie beter is.  6. We zijn al getrouwd. We maken deel uit van elkaar dat betekent dat we verantwoordelijk samen hebben.	We maken deel uit van elkaar dat betekent dat we verantwoordelijk samen hebben.	We maken deel uit van elkaar dat betekent dat we verantwoordelijk  (P) samen hebben (W)	verantwoordelijk	dat we samen verantwoordelijk zijn (verantwoordelijk hoort bij het werkwoord)
124	B1+	Arabisch	Twee jaar geleden begon ik mijn Nederlands leren reis en tot op dit moment het interessant is, ik ben trots dat ik nu kan spreken en dat ik tot niveau 4 heeft bereikt. Ik herinner me dat het te moeilijk was in het beginnen en eerlijk is het nu moeilijk ook. Ik ben bijna al vijf jaar nu in België en ik ben met het nederlands leren na drie jaren. In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies. Maar twee jaar geleden was het veranderd en ik was overtuigd door een collega om nederland te studeren en ik ben heel dankbaar. Mijn doel van nederlands leren is om te integreren en een baan te vinden, de oppurtuniteiten voor Nederlands sprekende mensen met een verschillende afkomst is aantrekkelijk. Nederlands is een uitdaging en ik moest sommige dingen overkomen om Nederlands te leren. Ten eerste was/is het uitspraak want ik vind dat het uitspraak van belang. Ten tweede was/is het luisteren omdat er veel dialecten in België en Nederland zijn en ik heb moeite om veel dialecten te snappen en ik ben niet de enige die dat vind. Ten laatste is het spreken of een zin met een goede context te formuleren, soms maak ik me geen zorgen om met een concreet uitspraak te spreken. Maar toch nog, ik vind schrijven en lezen het gemakkleste integendeel spreken het moeilijkste is. Ik vind woordenschat studeren essentieel is omdat met nieuwe woordenschat kan je meer beter zinnen formuleren in beide schrijven en spreken, bovendien kan je meer zinnen begrijpen. Ik weet niet als mijn studie methode efficient is maar ik probeer om altijd nieuwe dingen te proberen. Ik studeer de woordenschat met de hulp van quizlet en ik schrijf de woorden in een zin met context zodat de woorden vertrouwd woorden. Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks. Elke taal is mooie in haar eigen manier en eerlijk weet ik niet of Nederlands een mooie taal is maar ik vind het wel interssant . Mijn favoriete woord in het nederlands is "maar", ik weet niet waroom maar ik gebruik die woord vaak en ik vind het wel nuttig in zinnen.	Twee jaar geleden begon ik mijn Nederlands leren reis en tot op dit moment het interessant is, ik ben trots dat ik nu kan spreken en dat ik tot niveau 4 heeft bereikt.	Twee jaar geleden begon ik mijn Nederlands leren reis (W)  en tot op dit moment het interessant is (P) , (I)  ik ben trots dat ik nu kan spreken en dat ik tot  (F) niveau 4 heeft  (G) bereikt	is	inversie, geen bijzin
125	B1+	Arabisch	Twee jaar geleden begon ik mijn Nederlands leren reis en tot op dit moment het interessant is, ik ben trots dat ik nu kan spreken en dat ik tot niveau 4 heeft bereikt. Ik herinner me dat het te moeilijk was in het beginnen en eerlijk is het nu moeilijk ook. Ik ben bijna al vijf jaar nu in België en ik ben met het nederlands leren na drie jaren. In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies. Maar twee jaar geleden was het veranderd en ik was overtuigd door een collega om nederland te studeren en ik ben heel dankbaar. Mijn doel van nederlands leren is om te integreren en een baan te vinden, de oppurtuniteiten voor Nederlands sprekende mensen met een verschillende afkomst is aantrekkelijk. Nederlands is een uitdaging en ik moest sommige dingen overkomen om Nederlands te leren. Ten eerste was/is het uitspraak want ik vind dat het uitspraak van belang. Ten tweede was/is het luisteren omdat er veel dialecten in België en Nederland zijn en ik heb moeite om veel dialecten te snappen en ik ben niet de enige die dat vind. Ten laatste is het spreken of een zin met een goede context te formuleren, soms maak ik me geen zorgen om met een concreet uitspraak te spreken. Maar toch nog, ik vind schrijven en lezen het gemakkleste integendeel spreken het moeilijkste is. Ik vind woordenschat studeren essentieel is omdat met nieuwe woordenschat kan je meer beter zinnen formuleren in beide schrijven en spreken, bovendien kan je meer zinnen begrijpen. Ik weet niet als mijn studie methode efficient is maar ik probeer om altijd nieuwe dingen te proberen. Ik studeer de woordenschat met de hulp van quizlet en ik schrijf de woorden in een zin met context zodat de woorden vertrouwd woorden. Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks. Elke taal is mooie in haar eigen manier en eerlijk weet ik niet of Nederlands een mooie taal is maar ik vind het wel interssant . Mijn favoriete woord in het nederlands is "maar", ik weet niet waroom maar ik gebruik die woord vaak en ik vind het wel nuttig in zinnen.	Ik ben bijna al vijf jaar nu in België en ik ben met het nederlands leren na drie jaren.	Ik ben bijna al  (P) vijf jaar nu  (P) in België en ik ben met het nederlands leren na drie jaren (W)	al	al bijna
127	B1+	Arabisch	Twee jaar geleden begon ik mijn Nederlands leren reis en tot op dit moment het interessant is, ik ben trots dat ik nu kan spreken en dat ik tot niveau 4 heeft bereikt. Ik herinner me dat het te moeilijk was in het beginnen en eerlijk is het nu moeilijk ook. Ik ben bijna al vijf jaar nu in België en ik ben met het nederlands leren na drie jaren. In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies. Maar twee jaar geleden was het veranderd en ik was overtuigd door een collega om nederland te studeren en ik ben heel dankbaar. Mijn doel van nederlands leren is om te integreren en een baan te vinden, de oppurtuniteiten voor Nederlands sprekende mensen met een verschillende afkomst is aantrekkelijk. Nederlands is een uitdaging en ik moest sommige dingen overkomen om Nederlands te leren. Ten eerste was/is het uitspraak want ik vind dat het uitspraak van belang. Ten tweede was/is het luisteren omdat er veel dialecten in België en Nederland zijn en ik heb moeite om veel dialecten te snappen en ik ben niet de enige die dat vind. Ten laatste is het spreken of een zin met een goede context te formuleren, soms maak ik me geen zorgen om met een concreet uitspraak te spreken. Maar toch nog, ik vind schrijven en lezen het gemakkleste integendeel spreken het moeilijkste is. Ik vind woordenschat studeren essentieel is omdat met nieuwe woordenschat kan je meer beter zinnen formuleren in beide schrijven en spreken, bovendien kan je meer zinnen begrijpen. Ik weet niet als mijn studie methode efficient is maar ik probeer om altijd nieuwe dingen te proberen. Ik studeer de woordenschat met de hulp van quizlet en ik schrijf de woorden in een zin met context zodat de woorden vertrouwd woorden. Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks. Elke taal is mooie in haar eigen manier en eerlijk weet ik niet of Nederlands een mooie taal is maar ik vind het wel interssant . Mijn favoriete woord in het nederlands is "maar", ik weet niet waroom maar ik gebruik die woord vaak en ik vind het wel nuttig in zinnen.	In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies.	In het begin ik wou  (P) niet starten want ik twijfelde of ik hier ga (G)  blijven wonen na mijn studies	wou	
128	B1+	Arabisch	Twee jaar geleden begon ik mijn Nederlands leren reis en tot op dit moment het interessant is, ik ben trots dat ik nu kan spreken en dat ik tot niveau 4 heeft bereikt. Ik herinner me dat het te moeilijk was in het beginnen en eerlijk is het nu moeilijk ook. Ik ben bijna al vijf jaar nu in België en ik ben met het nederlands leren na drie jaren. In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies. Maar twee jaar geleden was het veranderd en ik was overtuigd door een collega om nederland te studeren en ik ben heel dankbaar. Mijn doel van nederlands leren is om te integreren en een baan te vinden, de oppurtuniteiten voor Nederlands sprekende mensen met een verschillende afkomst is aantrekkelijk. Nederlands is een uitdaging en ik moest sommige dingen overkomen om Nederlands te leren. Ten eerste was/is het uitspraak want ik vind dat het uitspraak van belang. Ten tweede was/is het luisteren omdat er veel dialecten in België en Nederland zijn en ik heb moeite om veel dialecten te snappen en ik ben niet de enige die dat vind. Ten laatste is het spreken of een zin met een goede context te formuleren, soms maak ik me geen zorgen om met een concreet uitspraak te spreken. Maar toch nog, ik vind schrijven en lezen het gemakkleste integendeel spreken het moeilijkste is. Ik vind woordenschat studeren essentieel is omdat met nieuwe woordenschat kan je meer beter zinnen formuleren in beide schrijven en spreken, bovendien kan je meer zinnen begrijpen. Ik weet niet als mijn studie methode efficient is maar ik probeer om altijd nieuwe dingen te proberen. Ik studeer de woordenschat met de hulp van quizlet en ik schrijf de woorden in een zin met context zodat de woorden vertrouwd woorden. Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks. Elke taal is mooie in haar eigen manier en eerlijk weet ik niet of Nederlands een mooie taal is maar ik vind het wel interssant . Mijn favoriete woord in het nederlands is "maar", ik weet niet waroom maar ik gebruik die woord vaak en ik vind het wel nuttig in zinnen.	Ik vind woordenschat studeren essentieel is omdat met nieuwe woordenschat kan je meer beter zinnen formuleren in beide schrijven en spreken, bovendien kan je meer zinnen begrijpen.	Ik vind  (√) woordenschat studeren essentieel is omdat met nieuwe woordenschat kan je  (P) meer  (F) beter  (G) zinnen formuleren in beide  (W) schrijven en  (W) spreken,  (I) bovendien kan je meer zinnen begrijpen	kan je	In de bijzin staat het subject direct na je linkwoord. In een bijzin staan alle werkwoorden in de eindgroep.
129	B1+	Arabisch	Twee jaar geleden begon ik mijn Nederlands leren reis en tot op dit moment het interessant is, ik ben trots dat ik nu kan spreken en dat ik tot niveau 4 heeft bereikt. Ik herinner me dat het te moeilijk was in het beginnen en eerlijk is het nu moeilijk ook. Ik ben bijna al vijf jaar nu in België en ik ben met het nederlands leren na drie jaren. In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies. Maar twee jaar geleden was het veranderd en ik was overtuigd door een collega om nederland te studeren en ik ben heel dankbaar. Mijn doel van nederlands leren is om te integreren en een baan te vinden, de oppurtuniteiten voor Nederlands sprekende mensen met een verschillende afkomst is aantrekkelijk. Nederlands is een uitdaging en ik moest sommige dingen overkomen om Nederlands te leren. Ten eerste was/is het uitspraak want ik vind dat het uitspraak van belang. Ten tweede was/is het luisteren omdat er veel dialecten in België en Nederland zijn en ik heb moeite om veel dialecten te snappen en ik ben niet de enige die dat vind. Ten laatste is het spreken of een zin met een goede context te formuleren, soms maak ik me geen zorgen om met een concreet uitspraak te spreken. Maar toch nog, ik vind schrijven en lezen het gemakkleste integendeel spreken het moeilijkste is. Ik vind woordenschat studeren essentieel is omdat met nieuwe woordenschat kan je meer beter zinnen formuleren in beide schrijven en spreken, bovendien kan je meer zinnen begrijpen. Ik weet niet als mijn studie methode efficient is maar ik probeer om altijd nieuwe dingen te proberen. Ik studeer de woordenschat met de hulp van quizlet en ik schrijf de woorden in een zin met context zodat de woorden vertrouwd woorden. Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks. Elke taal is mooie in haar eigen manier en eerlijk weet ik niet of Nederlands een mooie taal is maar ik vind het wel interssant . Mijn favoriete woord in het nederlands is "maar", ik weet niet waroom maar ik gebruik die woord vaak en ik vind het wel nuttig in zinnen.	Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks.	Bovendien af en toe (P) ,  (F)  (I) lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse  (S) reeks	af en toe	
130	B1	Frans	Hallo iederen,  Als ik de leider van de group ben, heb ik aan een trip die we kunnen samen doen gedacht. We zullen Club Brugge bezoeken. Ik heb de communicatie team van Club Brugge gecontacteerd en ze ging akkoord voor onze trip te organiseren. Ik ben heel blij omdat zullen we de club bezoeken en de spelers ontmoeten. Belangrijk informatie : allemmal moet zich inschrijven op de google form om te kunnen deelnemen aan de trip. Deze trip kost 10 euro per persoon alleen voor de transport naar Brugge. Je moet deze geld op de rekening van de group overschrijven met de communicatie 'Trip Club Brugge'.  Met vriendelijke groetjes,  Gokce	Als ik de leider van de group ben, heb ik aan een trip die we kunnen samen doen gedacht.	Hallo iederen,  Als  (W) ik de leider van de group  (S) ben, heb ik aan een trip die we kunnen  (P) samen doen gedacht	kunnen	In een bijzin staan alle werkwoorden in de eindgroep.
131	B1	Frans	Hallo iederen,  Als ik de leider van de group ben, heb ik aan een trip die we kunnen samen doen gedacht. We zullen Club Brugge bezoeken. Ik heb de communicatie team van Club Brugge gecontacteerd en ze ging akkoord voor onze trip te organiseren. Ik ben heel blij omdat zullen we de club bezoeken en de spelers ontmoeten. Belangrijk informatie : allemmal moet zich inschrijven op de google form om te kunnen deelnemen aan de trip. Deze trip kost 10 euro per persoon alleen voor de transport naar Brugge. Je moet deze geld op de rekening van de group overschrijven met de communicatie 'Trip Club Brugge'.  Met vriendelijke groetjes,  Gokce	Ik ben heel blij omdat zullen we de club bezoeken en de spelers ontmoeten.	Ik ben heel blij omdat zullen  (P) we de club bezoeken en de spelers ontmoeten	zullen	In een bijzin staan alle werkwoorden in de eindgroep.
132	B1	Tamil	Het maakt me altijd blij als ik me mijn schooljaren herinner. Toen ik een leerling was, ging ik graag naar school. Ik was altijd een van de leerlingen die eerste naar school kwam. De leraren vonden mij leuk. Dus ik kreeg altijd aandacht van de leraren. Zelfs nu heb ik contact met hen. I hield van een van de leraren die Arul Joseph heette die mijn Engels vak leraar was. Als iemand aan mij vraagt waarom hij mijn favoriete leraar is, antwoord ik altijd dat hij meer dan een leraar was. Hij was een vader voor degenen die geen vader heeft. Hij was een moeder voor degenen die geen moeder heeft. Hij was een vriend voor degenen die geen vriend heeft. Hij was een begeleider voor degenen die in het leven worstelde. Iedereen van school voelden dezelde. Vandaag herinner ik me hem met dankbaarheid voor wat ik ben. Omdat ik van hem hield, werd zijn vak als mijn lievelingsvak: het Engels. Dus ik bracht veel tijd met Engels door. Ik vond ook het Engles literatuur echt interessant. Om te spreken over mijn droomjob toen ik een kind was, wilde ik een priester worden. Vandaag ben ik aan het voorbereiden om een priester te worden. Misschien zal ik in 2024 een priester zijn als alles goed gaat.	Ik vond ook het Engles literatuur echt interessant.	Ik vond ook  (P) het Engles (W)  literatuur echt interessant	ook	Kleine woordjes zoals ‘ook’, ‘nog’, ‘maar’… staan op dezelfde plaats als ‘niet’ of ‘geen’.
133	B1	Spaans	Beste Irena, Ik heb jouw artikel gelezen. Toen ik jong was, hield ik ook niet van sport te doen, bijvoorbeeld op school hadden wij een keer per week sport les en ik melde me soms ziek om deze te vermijden.  Volgens mij is belangrijk dat je haar niet verplicht om sport te doen, maar om ze te motiveren zoals mijn ouders deden met mij. Mijn zus deed veel sport sinds zij 6 jaar oud was en ze had me gemotiveerd om te bewegen. Zo deed ik bijvoorbeeld dans of een beetje gymnastiek thuis, maar ik houd niet van aggresieve sporten. Misschien houdt ze niet ook van aggresieve sporten of in een team te spelen? dan kan ze met individuele sporten starten. Geef haar de gelegenheid om te kiezen. Een ander advies voor jouw dochter Kim is om groenten en fruiten te eten zodat ze gewicht kan verliezen.	Misschien houdt ze niet ook van aggresieve sporten of in een team te spelen?	Misschien houdt ze niet ook  (P) van aggresieve  (S) sporten of in een team te spelen? dan kan ze met individuele sporten starten	ook	
