index	original	level	original_spaced_punc	original_no_punc	scrambled	scrambled_final_punc	scrambled_no_punc	verbs_scrambled
51	Daarover wil de politie verder niets kwijt.	B1+	Daarover wil de politie verder niets kwijt .	Daarover wil de politie verder niets kwijt	Daarover verder niets politie de kwijt wil .	Daarover verder niets politie de kwijt wil .	Daarover verder niets politie de kwijt wil	Daarover de politie verder niets kwijt wil .
52	De beelden zullen bestudeerd worden en mogelijk krijgen supporters alsnog een boete thuisgestuurd.	B1+	De beelden zullen bestudeerd worden en mogelijk krijgen supporters alsnog een boete thuisgestuurd .	De beelden zullen bestudeerd worden en mogelijk krijgen supporters alsnog een boete thuisgestuurd	krijgen supporters De alsnog boete en . mogelijk beelden bestudeerd een worden thuisgestuurd zullen	krijgen supporters De alsnog boete en mogelijk beelden bestudeerd een worden thuisgestuurd zullen .	krijgen supporters De alsnog boete en mogelijk beelden bestudeerd een worden thuisgestuurd zullen	De krijgen beelden thuisgestuurd en mogelijk supporters alsnog bestudeerd zullen worden een boete .
53	Niet blij Cambuurtrainer Henk de Jong had supporters juist opgeroepen om geen feest te vieren.	B1+	Niet blij Cambuurtrainer Henk de Jong had supporters juist opgeroepen om geen feest te vieren .	Niet blij Cambuurtrainer Henk de Jong had supporters juist opgeroepen om geen feest te vieren	juist blij Cambuurtrainer Niet had . om te supporters feest Jong de vieren geen Henk opgeroepen	juist blij Cambuurtrainer Niet had om te supporters feest Jong de vieren geen Henk opgeroepen .	juist blij Cambuurtrainer Niet had om te supporters feest Jong de vieren geen Henk opgeroepen	te Niet blij vieren opgeroepen Cambuurtrainer Henk de Jong supporters juist om geen feest . had
54	Hierover waren van tevoren ook afspraken gemaakt met de gemeente, zegt de politie.	B1+	Hierover waren van tevoren ook afspraken gemaakt met de gemeente , zegt de politie .	Hierover waren van tevoren ook afspraken gemaakt met de gemeente zegt de politie	. gemeente van Hierover waren de de met afspraken , ook gemaakt zegt politie tevoren	gemeente van Hierover waren de de met afspraken , ook gemaakt zegt politie tevoren .	gemeente van Hierover waren de de met afspraken ook gemaakt zegt politie tevoren	Hierover van tevoren gemaakt ook afspraken met de waren gemeente , de zegt politie .
55	"De gemeente Leeuwarden is niet blij dat men ""massaal op straat was"", laat een woordvoerder weten."	B1+	"De gemeente Leeuwarden is niet blij dat men ""massaal op straat was"" , laat een woordvoerder weten ."	"De gemeente Leeuwarden is niet blij dat men ""massaal op straat was"" laat een woordvoerder weten"	"dat De niet straat blij ""massaal men was"" laat weten op een . , Leeuwarden woordvoerder is gemeente"	"dat De niet straat blij ""massaal men was"" laat weten op een , Leeuwarden woordvoerder is gemeente ."	"dat De niet straat blij ""massaal men was"" laat weten op een Leeuwarden woordvoerder is gemeente"	"De gemeente Leeuwarden niet blij dat men "" massaal weten op straat is "" was , laat een woordvoerder ."
56	Dit stuk schreven we op 11 maart, voordat verplicht thuiswerken ineens de realiteit voor vrijwel heel Nederland werd.	B1+	Dit stuk schreven we op 11 maart , voordat verplicht thuiswerken ineens de realiteit voor vrijwel heel Nederland werd .	Dit stuk schreven we op 11 maart voordat verplicht thuiswerken ineens de realiteit voor vrijwel heel Nederland werd	11 we heel op Nederland Dit . schreven realiteit maart voordat verplicht de vrijwel voor , stuk thuiswerken werd ineens	11 we heel op Nederland Dit schreven realiteit maart voordat verplicht de vrijwel voor , stuk thuiswerken werd ineens .	11 we heel op Nederland Dit schreven realiteit maart voordat verplicht de vrijwel voor stuk thuiswerken werd ineens	Dit stuk verplicht we op thuiswerken 11 maart , voordat werd ineens de realiteit voor schreven vrijwel heel Nederland .
57	Nu, op 16 maart, we het zo real life met z’n allen uitproberen, hopen we dat de suggesties écht zo goed werken.	B1+	Nu , op 16 maart , we het zo real life met z’n allen uitproberen , hopen we dat de suggesties écht zo goed werken .	Nu op 16 maart we het zo real life met z’n allen uitproberen hopen we dat de suggesties écht zo goed werken	z’n maart zo het werken , zo real we dat . goed we met , de hopen Nu uitproberen 16 op , écht life suggesties allen	z’n maart zo het werken , zo real we dat goed we met , de hopen Nu uitproberen 16 op , écht life suggesties allen .	z’n maart zo het werken zo real we dat goed we met de hopen Nu uitproberen 16 op écht life suggesties allen	Nu , op 16 hopen maart , we het zo real life met werken z’n allen , we dat de suggesties écht uitproberen zo goed .
58	Als we betere ontdekkingen doen, of als we die horen van onze klanten, dan zullen we die hier ook delen.	B1+	Als we betere ontdekkingen doen , of als we die horen van onze klanten , dan zullen we die hier ook delen .	Als we betere ontdekkingen doen of als we die horen van onze klanten dan zullen we die hier ook delen	horen we ontdekkingen . ook we betere klanten delen doen als hier die we , onze Als of dan zullen van die ,	horen we ontdekkingen ook we betere klanten delen doen als hier die we , onze Als of dan zullen van die , .	horen we ontdekkingen ook we betere klanten delen doen als hier die we onze Als of dan zullen van die	Als doen we betere ontdekkingen , of als we die van onze zullen klanten , dan we die hier ook delen . horen
59	Bij Voys werken we vaak remote.	B1+	Bij Voys werken we vaak remote .	Bij Voys werken we vaak remote	. remote Bij werken we vaak Voys	remote Bij werken we vaak Voys .	remote Bij werken we vaak Voys	Bij Voys we werken vaak remote .
60	Daarnaast hebben we teams op verschillende locaties die veel met elkaar samenwerken.	B1+	Daarnaast hebben we teams op verschillende locaties die veel met elkaar samenwerken .	Daarnaast hebben we teams op verschillende locaties die veel met elkaar samenwerken	. verschillende Daarnaast we op elkaar locaties die met samenwerken teams veel hebben	verschillende Daarnaast we op elkaar locaties die met samenwerken teams veel hebben .	verschillende Daarnaast we op elkaar locaties die met samenwerken teams veel hebben	Daarnaast we teams op verschillende locaties die veel samenwerken met elkaar hebben .
61	We schreven eerder al eens stukken over remote werken en lange periodes werken in bijvoorbeeld het buitenland.	B1+	We schreven eerder al eens stukken over remote werken en lange periodes werken in bijvoorbeeld het buitenland .	We schreven eerder al eens stukken over remote werken en lange periodes werken in bijvoorbeeld het buitenland	al remote werken het eens over . lange in buitenland werken schreven en stukken periodes eerder We bijvoorbeeld	al remote werken het eens over lange in buitenland werken schreven en stukken periodes eerder We bijvoorbeeld .	al remote werken het eens over lange in buitenland werken schreven en stukken periodes eerder We bijvoorbeeld	We eerder al eens stukken over remote werken en lange periodes in werken bijvoorbeeld het buitenland schreven .
62	Maar wat als je -noodgedwongen- een aantal weken thuis mag werken?	B1+	Maar wat als je -noodgedwongen- een aantal weken thuis mag werken ?	Maar wat als je -noodgedwongen- een aantal weken thuis mag werken	een wat thuis aantal werken weken ? mag Maar -noodgedwongen- je als	een wat thuis aantal werken weken mag Maar -noodgedwongen- je als ?	een wat thuis aantal werken weken mag Maar -noodgedwongen- je als	Maar wat als je -noodgedwongen- een mag aantal weken werken thuis ?
63	Of dat een heel team een tijd fysiek niet bij elkaar komt, dat je elkaar niet in levenden lijve ziet?	B1+	Of dat een heel team een tijd fysiek niet bij elkaar komt , dat je elkaar niet in levenden lijve ziet ?	Of dat een heel team een tijd fysiek niet bij elkaar komt dat je elkaar niet in levenden lijve ziet	dat bij ? heel een Of niet je ziet een elkaar , in levenden tijd elkaar dat team fysiek komt niet lijve	dat bij heel een Of niet je ziet een elkaar , in levenden tijd elkaar dat team fysiek komt niet lijve ?	dat bij heel een Of niet je ziet een elkaar in levenden tijd elkaar dat team fysiek komt niet lijve	Of dat een heel team een tijd fysiek niet bij elkaar , dat je komt elkaar niet ziet in levenden lijve ?
64	Welke tips, tools en werkprocessen kunnen je op dat moment helpen?	B1+	Welke tips , tools en werkprocessen kunnen je op dat moment helpen ?	Welke tips tools en werkprocessen kunnen je op dat moment helpen	en werkprocessen dat , je kunnen helpen op ? moment Welke tips tools	en werkprocessen dat , je kunnen helpen op moment Welke tips tools ?	en werkprocessen dat je kunnen helpen op moment Welke tips tools	Welke tips kunnen , tools en werkprocessen helpen je op dat moment ?
65	Dat zochten we voor je uit, het resultaat: 15 tips om van thuiswerken een succes te maken.	B1+	Dat zochten we voor je uit , het resultaat: 15 tips om van thuiswerken een succes te maken .	Dat zochten we voor je uit het resultaat: 15 tips om van thuiswerken een succes te maken	zochten , . Dat maken succes een om uit we je voor het van 15 thuiswerken resultaat: tips te	zochten , Dat maken succes een om uit we je voor het van 15 thuiswerken resultaat: tips te .	zochten Dat maken succes een om uit we je voor het van 15 thuiswerken resultaat: tips te	Dat zochten we voor je uit , het resultaat: 15 tips om van te maken een succes thuiswerken .
67	Maak duidelijke spelregels voor thuiswerk.	B1+	Maak duidelijke spelregels voor thuiswerk .	Maak duidelijke spelregels voor thuiswerk	thuiswerk voor . spelregels duidelijke Maak	thuiswerk voor spelregels duidelijke Maak .	thuiswerk voor spelregels duidelijke Maak	duidelijke spelregels Maak voor thuiswerk .
68	Dit geeft duidelijkheid voor degenen die thuiswerken en voor de collega’s die dat niet doen.	B1+	Dit geeft duidelijkheid voor degenen die thuiswerken en voor de collega’s die dat niet doen .	Dit geeft duidelijkheid voor degenen die thuiswerken en voor de collega’s die dat niet doen	duidelijkheid de . dat degenen en Dit die niet collega’s geeft voor thuiswerken voor doen die	duidelijkheid de dat degenen en Dit die niet collega’s geeft voor thuiswerken voor doen die .	duidelijkheid de dat degenen en Dit die niet collega’s geeft voor thuiswerken voor doen die	Dit duidelijkheid voor thuiswerken degenen die en voor de collega’s die geeft doen dat niet .
69	Denk aan spelregels over over werktijden, beschikbaarheid maar ook over bijvoorbeeld communicatie en het gebruik van tools.	B1+	Denk aan spelregels over over werktijden , beschikbaarheid maar ook over bijvoorbeeld communicatie en het gebruik van tools .	Denk aan spelregels over over werktijden beschikbaarheid maar ook over bijvoorbeeld communicatie en het gebruik van tools	Denk bijvoorbeeld communicatie en gebruik van over het aan beschikbaarheid ook spelregels over over . , maar werktijden tools	Denk bijvoorbeeld communicatie en gebruik van over het aan beschikbaarheid ook spelregels over over , maar werktijden tools .	Denk bijvoorbeeld communicatie en gebruik van over het aan beschikbaarheid ook spelregels over over maar werktijden tools	aan spelregels over over werktijden , beschikbaarheid Denk maar ook over bijvoorbeeld communicatie en het gebruik van tools .
70	Omdat je elkaar minder ‘ziet’, kan er onduidelijkheid en frustratie ontstaan.	B1+	Omdat je elkaar minder ‘ziet’ , kan er onduidelijkheid en frustratie ontstaan .	Omdat je elkaar minder ‘ziet’ kan er onduidelijkheid en frustratie ontstaan	er , kan . ontstaan minder frustratie ‘ziet’ je elkaar Omdat en onduidelijkheid	er , kan ontstaan minder frustratie ‘ziet’ je elkaar Omdat en onduidelijkheid .	er kan ontstaan minder frustratie ‘ziet’ je elkaar Omdat en onduidelijkheid	Omdat je elkaar minder ontstaan ‘kan’ , er onduidelijkheid en ziet frustratie .
71	Het lijkt erop dat 2020, samen met 2014, het warmste jaar ooit gemeten wordt.	A2+	Het lijkt erop dat 2020 , samen met 2014 , het warmste jaar ooit gemeten wordt .	Het lijkt erop dat 2020 samen met 2014 het warmste jaar ooit gemeten wordt	dat warmste het samen erop , ooit 2014 wordt , Het jaar 2020 met . lijkt gemeten	dat warmste het samen erop , ooit 2014 wordt , Het jaar 2020 met lijkt gemeten .	dat warmste het samen erop ooit 2014 wordt Het jaar 2020 met lijkt gemeten	Het erop wordt lijkt dat 2020 , samen gemeten met 2014 , het warmste jaar ooit .
72	Gemiddeld was het dit jaar 11,7 graden.	A2+	Gemiddeld was het dit jaar 11,7 graden .	Gemiddeld was het dit jaar 117 graden	het Gemiddeld graden was . jaar dit 11,7	het Gemiddeld graden was jaar dit 11,7 .	het Gemiddeld graden was jaar dit 11,7	Gemiddeld het dit jaar 11,7 graden was .
73	Het was in 2020 maar liefst 225 dagen warmer dan normaal.	A2+	Het was in 2020 maar liefst 225 dagen warmer dan normaal .	Het was in 2020 maar liefst 225 dagen warmer dan normaal	. normaal warmer liefst dan dagen was 2020 maar in 225 Het	normaal warmer liefst dan dagen was 2020 maar in 225 Het .	normaal warmer liefst dan dagen was 2020 maar in 225 Het	Het in 2020 maar liefst 225 dagen was warmer dan normaal .
74	Alleen in mei en juli was het wat kouder dan gemiddeld, in alle andere maanden was het warmer.	A2+	Alleen in mei en juli was het wat kouder dan gemiddeld , in alle andere maanden was het warmer .	Alleen in mei en juli was het wat kouder dan gemiddeld in alle andere maanden was het warmer	andere in wat het . mei Alleen warmer juli alle en maanden , was kouder dan in gemiddeld het was	andere in wat het mei Alleen warmer juli alle en maanden , was kouder dan in gemiddeld het was .	andere in wat het mei Alleen warmer juli alle en maanden was kouder dan in gemiddeld het was	Alleen in was mei en juli het wat kouder was dan gemiddeld , in alle andere maanden het warmer .
75	Vooral in januari en februari was dat zo.	A2+	Vooral in januari en februari was dat zo .	Vooral in januari en februari was dat zo	dat zo en . januari in februari Vooral was	dat zo en januari in februari Vooral was .	dat zo en januari in februari Vooral was	Vooral in was januari en februari dat zo .
76	Het heeft in 2020 maar een paar dagen gevroren.	A2+	Het heeft in 2020 maar een paar dagen gevroren .	Het heeft in 2020 maar een paar dagen gevroren	gevroren Het dagen in een 2020 paar maar . heeft	gevroren Het dagen in een 2020 paar maar heeft .	gevroren Het dagen in een 2020 paar maar heeft	Het in 2020 gevroren heeft maar een paar dagen .
77	In andere jaren gebeurde dat vaker.	A2+	In andere jaren gebeurde dat vaker .	In andere jaren gebeurde dat vaker	. andere dat In vaker gebeurde jaren	andere dat In vaker gebeurde jaren .	andere dat In vaker gebeurde jaren	In gebeurde andere jaren dat vaker .
78	Dit jaar werden ook veel nieuwe warmterecords gehaald.	A2+	Dit jaar werden ook veel nieuwe warmterecords gehaald .	Dit jaar werden ook veel nieuwe warmterecords gehaald	gehaald ook Dit nieuwe veel warmterecords jaar werden .	gehaald ook Dit nieuwe veel warmterecords jaar werden .	gehaald ook Dit nieuwe veel warmterecords jaar werden	Dit jaar ook veel nieuwe werden gehaald warmterecords .
79	Op 15 september werd de hoogste temperatuur ooit in september gemeten.	A2+	Op 15 september werd de hoogste temperatuur ooit in september gemeten .	Op 15 september werd de hoogste temperatuur ooit in september gemeten	in Op . ooit hoogste september werd de gemeten september temperatuur 15	in Op ooit hoogste september werd de gemeten september temperatuur 15 .	in Op ooit hoogste september werd de gemeten september temperatuur 15	Op 15 september de hoogste temperatuur werd gemeten ooit in september .
80	Bij het officiële weerstation in De Bilt werd het toen 31,4 graden.	A2+	Bij het officiële weerstation in De Bilt werd het toen 31,4 graden .	Bij het officiële weerstation in De Bilt werd het toen 314 graden	graden werd Bilt 31,4 het toen het in officiële . weerstation De Bij	graden werd Bilt 31,4 het toen het in officiële weerstation De Bij .	graden werd Bilt 31,4 het toen het in officiële weerstation De Bij	Bij het officiële weerstation in De Bilt het toen 31,4 werd graden .
81	Er zijn momenten dat ik me ineens erg oud voel.	B1+	Er zijn momenten dat ik me ineens erg oud voel .	Er zijn momenten dat ik me ineens erg oud voel	ineens zijn erg Er momenten . dat oud voel me ik	ineens zijn erg Er momenten dat oud voel me ik .	ineens zijn erg Er momenten dat oud voel me ik	Er momenten dat zijn ik me ineens erg voel oud .
82	Op 6 juni 2014 was de 30-ste verjaardag van Tetris.	B1+	Op 6 juni 2014 was de 30-ste verjaardag van Tetris .	Op 6 juni 2014 was de 30-ste verjaardag van Tetris	van 2014 verjaardag 30-ste . was juni 6 de Op Tetris	van 2014 verjaardag 30-ste was juni 6 de Op Tetris .	van 2014 verjaardag 30-ste was juni 6 de Op Tetris	Op 6 was juni 2014 de 30-ste verjaardag van Tetris .
83	En ook ergens dit jaar is het de 30-ste verjaardag van Ghostbusters.	B1+	En ook ergens dit jaar is het de 30-ste verjaardag van Ghostbusters .	En ook ergens dit jaar is het de 30-ste verjaardag van Ghostbusters	dit Ghostbusters 30-ste ook ergens En de is . het van jaar verjaardag	dit Ghostbusters 30-ste ook ergens En de is het van jaar verjaardag .	dit Ghostbusters 30-ste ook ergens En de is het van jaar verjaardag	En ook is ergens dit jaar het de 30-ste verjaardag van Ghostbusters .
84	Ik herinner me van Ghostbusters vooral het melodietje dat (op mijn Commodore 64) zonder veel variatie maar door bleef gaan.	B1+	Ik herinner me van Ghostbusters vooral het melodietje dat (op mijn Commodore 64) zonder veel variatie maar door bleef gaan .	Ik herinner me van Ghostbusters vooral het melodietje dat (op mijn Commodore 64) zonder veel variatie maar door bleef gaan	van maar melodietje door (op het variatie bleef Commodore Ghostbusters me dat . vooral zonder mijn Ik veel herinner gaan 64)	van maar melodietje door (op het variatie bleef Commodore Ghostbusters me dat vooral zonder mijn Ik veel herinner gaan 64) .	van maar melodietje door (op het variatie bleef Commodore Ghostbusters me dat vooral zonder mijn Ik veel herinner gaan 64)	Ik me van door Ghostbusters vooral het melodietje dat (op mijn Commodore gaan bleef 64) zonder herinner veel variatie maar .
85	Aan het spel zelf heb ik niet zo veel tijd besteed.	B1+	Aan het spel zelf heb ik niet zo veel tijd besteed .	Aan het spel zelf heb ik niet zo veel tijd besteed	veel . zo niet het besteed spel tijd Aan zelf ik heb	veel zo niet het besteed spel tijd Aan zelf ik heb .	veel zo niet het besteed spel tijd Aan zelf ik heb	Aan het besteed spel zelf ik niet heb zo veel tijd .
86	Op dit moment zijn er nog legio Ghostbuster attributen te koop.	B1+	Op dit moment zijn er nog legio Ghostbuster attributen te koop .	Op dit moment zijn er nog legio Ghostbuster attributen te koop	legio te zijn nog er koop moment dit . Ghostbuster attributen Op	legio te zijn nog er koop moment dit Ghostbuster attributen Op .	legio te zijn nog er koop moment dit Ghostbuster attributen Op	zijn Op dit moment er nog legio Ghostbuster attributen te koop .
87	En Tetris had ook als zo’n herkenbaar geluidje.	B1+	En Tetris had ook als zo’n herkenbaar geluidje .	En Tetris had ook als zo’n herkenbaar geluidje	als herkenbaar geluidje En Tetris . had ook zo’n	als herkenbaar geluidje En Tetris had ook zo’n .	als herkenbaar geluidje En Tetris had ook zo’n	En Tetris ook als zo’n herkenbaar geluidje . had
88	Dit was echt verslavend en het gaat helemaal nergens over.	B1+	Dit was echt verslavend en het gaat helemaal nergens over .	Dit was echt verslavend en het gaat helemaal nergens over	gaat echt het over helemaal verslavend was Dit . en nergens	gaat echt het over helemaal verslavend was Dit en nergens .	gaat echt het over helemaal verslavend was Dit en nergens	Dit was echt verslavend en het helemaal gaat nergens over .
89	Waarom was Tetris zo verslavend?	B1+	Waarom was Tetris zo verslavend ?	Waarom was Tetris zo verslavend	was ? Waarom Tetris verslavend zo	was Waarom Tetris verslavend zo ?	was Waarom Tetris verslavend zo	was Waarom Tetris zo verslavend ?
90	Tom Stafford bekijkt “The psychology of Tetris”.	B1+	Tom Stafford bekijkt “The psychology of Tetris” .	Tom Stafford bekijkt “The psychology of Tetris”	of psychology bekijkt “The . Tetris” Stafford Tom	of psychology bekijkt “The Tetris” Stafford Tom .	of psychology bekijkt “The Tetris” Stafford Tom	Tom Stafford “The psychology of Tetris” . bekijkt
91	Tom beschrijft het Zeigarnik Effect waar bij ons brein zich richt op nog niet voltooide taken, maar voltooide taken ook weer direct vergeet.	B1+	Tom beschrijft het Zeigarnik Effect waar bij ons brein zich richt op nog niet voltooide taken , maar voltooide taken ook weer direct vergeet .	Tom beschrijft het Zeigarnik Effect waar bij ons brein zich richt op nog niet voltooide taken maar voltooide taken ook weer direct vergeet	taken brein , richt waar . Effect zich Zeigarnik maar taken direct bij weer op ook nog beschrijft voltooide het voltooide Tom niet vergeet ons	taken brein , richt waar Effect zich Zeigarnik maar taken direct bij weer op ook nog beschrijft voltooide het voltooide Tom niet vergeet ons .	taken brein richt waar Effect zich Zeigarnik maar taken direct bij weer op ook nog beschrijft voltooide het voltooide Tom niet vergeet ons	Tom het Zeigarnik Effect richt waar bij ons beschrijft brein zich op nog niet voltooide taken , maar voltooide taken ook weer direct . vergeet
92	Een verschijnsel dat ik in de klas ook wel zie.	B1+	Een verschijnsel dat ik in de klas ook wel zie .	Een verschijnsel dat ik in de klas ook wel zie	ook klas . ik zie Een dat verschijnsel wel de in	ook klas ik zie Een dat verschijnsel wel de in .	ook klas ik zie Een dat verschijnsel wel de in	Een verschijnsel dat ik in de zie klas ook wel .
93	Leerlingen zijn druk bezig met een opdracht of opgave.	B1+	Leerlingen zijn druk bezig met een opdracht of opgave .	Leerlingen zijn druk bezig met een opdracht of opgave	opdracht bezig opgave druk een zijn . Leerlingen of met	opdracht bezig opgave druk een zijn Leerlingen of met .	opdracht bezig opgave druk een zijn Leerlingen of met	Leerlingen druk zijn bezig met een opdracht of opgave .
94	Ze overleggen met buren.	B1+	Ze overleggen met buren .	Ze overleggen met buren	. Ze buren overleggen met	Ze buren overleggen met .	Ze buren overleggen met	overleggen Ze met buren .
95	Komen tot een juiste conclusie.	B1+	Komen tot een juiste conclusie .	Komen tot een juiste conclusie	conclusie juiste Komen een . tot	conclusie juiste Komen een tot .	conclusie juiste Komen een tot	tot een juiste conclusie Komen .
96	En als ik dan even later een andere opdracht geeft over hetzelfde onderwerp dan hebben leerlingen geen idee meer.	B1+	En als ik dan even later een andere opdracht geeft over hetzelfde onderwerp dan hebben leerlingen geen idee meer .	En als ik dan even later een andere opdracht geeft over hetzelfde onderwerp dan hebben leerlingen geen idee meer	over als dan hetzelfde leerlingen later onderwerp even dan andere ik opdracht hebben En idee . meer een geen geeft	over als dan hetzelfde leerlingen later onderwerp even dan andere ik opdracht hebben En idee meer een geen geeft .	over als dan hetzelfde leerlingen later onderwerp even dan andere ik opdracht hebben En idee meer een geen geeft	En als ik dan even later een andere opdracht over hetzelfde onderwerp dan leerlingen geen idee meer geeft . hebben
97	Dit voorjaar is het vijf jaar geleden dat we bij Voys begonnen met Holacracy.	B1+	Dit voorjaar is het vijf jaar geleden dat we bij Voys begonnen met Holacracy .	Dit voorjaar is het vijf jaar geleden dat we bij Voys begonnen met Holacracy	met . jaar begonnen voorjaar vijf is Dit het we geleden bij dat Holacracy Voys	met jaar begonnen voorjaar vijf is Dit het we geleden bij dat Holacracy Voys .	met jaar begonnen voorjaar vijf is Dit het we geleden bij dat Holacracy Voys	Dit voorjaar het vijf jaar geleden is dat we bij Voys met Holacracy begonnen .
98	Hoe staat het er nu voor en wat hebben we geleerd van het organisatiemodel?	B1+	Hoe staat het er nu voor en wat hebben we geleerd van het organisatiemodel ?	Hoe staat het er nu voor en wat hebben we geleerd van het organisatiemodel	en ? het van wat we het Hoe voor staat hebben organisatiemodel geleerd nu er	en het van wat we het Hoe voor staat hebben organisatiemodel geleerd nu er ?	en het van wat we het Hoe voor staat hebben organisatiemodel geleerd nu er	Hoe het er nu voor en wat staat we geleerd van hebben het organisatiemodel ?
99	Dat vertellen we in de reeks ‘5 jaar Holacracy’.	B1+	Dat vertellen we in de reeks ‘5 jaar Holacracy’ .	Dat vertellen we in de reeks ‘5 jaar Holacracy’	Dat vertellen reeks de ‘5 we in jaar . Holacracy’	Dat vertellen reeks de ‘5 we in jaar Holacracy’ .	Dat vertellen reeks de ‘5 we in jaar Holacracy’	Dat we in de reeks ‘5 jaar Holacracy’ . vertellen
