index	original	level
2885	Het gaat om nesten van de dikkopschildpad, karetschildpad en groene zeeschildpad.	B1+
2886	Als het aan de schilpadden ligt, mogen de stranden dus nog wel even zo rustig blijven.	B1+
2887	Zestig kilometer per uur haalt hij niet meer, maar deze vos uit Turkije kan weer rennen.	B1+
2888	Het dier werd gevonden met verwondingen aan zijn achterpoten en naar een revalidatiecentrum gebracht.	B1+
2889	De verzorgers daar wisten wel een oplossing voor het probleem van de gehandicapte vos.	B1+
2890	Ze knutselden een felgekleurde rolstoel voor hem in elkaar.	B1+
2891	Rennen maar!	B1+
2892	Door de snelle digitalisering en nieuwe technologie is digitale veiligheid steeds belangrijker.	B2
2893	De gemeente wil Amsterdam zo digitaal veilig mogelijk maken voor haar burgers, ondernemers en bezoekers.	B2
2894	Zoals eerder gezegd weerbaar zijn tegen gevaar of schade veroorzaakt door verstoring of uitval van ICT of door misbruik van ICT.	B2
2895	Digitale veiligheid is steeds meer in het geding omdat digitale aanvallen een laagdrempelig wapen zijn waartegen een doelwit zich lastig kan verweren.	B2
2896	Ook leidt op dit moment in termen van cybercrime slechts 1.4% van de aangiften tot vervolging.	B2
2897	Uit diverse rapporten (o.a. het Cyber Security Beeld Nederland 2019 van het NCTV) blijkt dat de digitale dreigingen steeds groter worden en dat het vergroten van de (digitale) weerbaarheid het belangrijkste instrument is voor overheden om risico’s te verminderen.	B2
2898	Gemeente Amsterdam is een grote en complexe organisatie die veel en ook gevoelige informatie verwerkt, ondersteund door informatievoorziening.	B2
2899	Dreigingen worden veroorzaakt door menselijke fouten, maar er moet ook rekening gehouden worden met hacking, verstoring, ransomware en sabotage/diefstal van data of geld door criminelen of hacktivisten.	B2
2900	Dat zijn onze kernwaarden.	B1+
2901	Die belofte hebben we niet zomaar gedaan.	B1+
2902	Wij werken voor iedereen die in Amsterdam woont, werkt of op bezoek komt.	B1+
2903	En alles wat we doen, doen we vanuit informatie.	B1+
2904	Informatie over bezoekersstromen, informatie op onze website, digitale aanvragen, noem maar op.	B1+
2905	Daarmee is informatie de grondstof van al ons werk als gemeentelijke organisatie.	B1+
2906	En dat betekent dat we daar zorgvuldig mee om moeten gaan.	B1+
2907	Vanuit de buitenwereld worden de verwachtingen en eisen steeds hoger.	B1+
2908	We dreigen daar steeds meer op achter te lopen.	B1+
2909	Met onze huidige systemen, processen en manier van werken houden we dat niet meer bij.	B1+
2910	We leven in een tijd waarin multimediale en interdisciplinaire uitingen zowel in de kunst als andere vormen van communicatie vanzelfsprekend zijn.	B2+
2911	Met behulp van moderne media, met digitale hulpmiddelen, vertellen over wat jij van betekenis vindt.	B2+
2912	Digital Storytelling is een eigenzinnige uitwerking van verhalende en constructivistische didactiek.	B2+
2913	Het zal een bescheiden opleving van kunstzinnige vorming veroorzaken.	B2+
2914	Impliciet komen vraagstukken mee die met vormgeving, theater en cultuur te maken hebben.	B2+
2915	Je registreert, je signaleert, je geeft vorm, verbindt oeroude principes (tekens, sporen, beelden en vertellen) met nieuwe mogelijkheden en legt zaken bloot die eerder niet met woorden of traditionele middelen toonbaar waren te maken.	B2+
2916	Met digitale middelen een verhaal vertellen is dan ook een beeldend proces waarin vorm, inhoud, betekenisgeving en reflectie samenvallen.	B2+
2917	Door middel van Digital Storytelling worden inhoud en beleving van het leerproces weer volgbaar en bespreekbaar gemaakt, maar wel op een andere manier dan in de klassieke klassensituatie.	B2+
2918	Op 6 augustus is het Digitale Bevrijdingsdag.	B2+
2919	Digitale wattus?	B2+
2920	Ja, weer zo'n dag die bedacht is door slimme marketeers om aandacht te vragen voor hun project.	B2+
2921	Vervang WhatsApp door Signal of ruil Google Search in voor DuckDuckGo.	B2+
2922	Gaat decentraal internet verdwijnen?	B2+
2923	De initiatiefnemers achter Digitale Bevrijdingsdag doen nog een suggestie.	B2+
2924	Wissel Google Chrome in ten behoeve van Mozilla FireFox.	B2+
2925	En dáár is iets mee.	B2+
2926	FireFox heeft onlangs een wijziging aangekondigd waarbij de browser zelf gaat zorgen voor DNS resolving over HTTPS.	B2+
2927	De meeste DNS resolvers bieden nog geen resolving over HTTPS aan.	B2+
2928	Daarom heeft FireFox ervoor gekozen om een resolver in te stellen in de software.	B2+
2929	Dat betekent dat er niet meer meegekeken kan worden op query's en dat providers geen DNS-blokkades in opdracht van hun regeringen kunnen zetten.	B2+
2930	Maar ... één resolver, voor alle FireFox gebruikers, over de hele wereld?	B2+
2931	Supercentralisatie dus en dat is precies wat het internet niet was.	B2+
2932	Het internet is groot geworden omdat het decentraal was.	B2+
2933	Op grond van het Verdrag betreffende de werking van de Europese Unie (artikelen 179-180) streeft de EU naar meer digitale mogelijkheden voor mensen en bedrijven door digitale gegevens ten volle te benutten voor de economie en de samenleving.	B1+
2934	De EU wil haar interne markt geschikt maken voor het digitale tijdperk.	B1+
2935	Dit betekent dat we onnodige en hinderlijke regels moeten schrappen en van aparte markten per land moeten overstappen op gemeenschappelijke regels voor de hele EU.	B1+
2936	Hollands Kroon.	B2
2937	De oppervlakte bedraagt 1,4 km2.	B2
2938	Op sommige topografiekaarten komt ook wel de spelling Dijkgatsbos(ch) of Sluitgatbos(ch) voor.	B2
2939	Beheer ligt bij Staatsbosbeheer (SBB), dat ook eigenaar is.	B2
2940	Het bos is ontstaan na een dijkdoorbraak in 1945.	B2
2941	Bij een wraakactie van de Duitsers, die de oorlog aan het verliezen waren, werden op 17 april 1945 twee gaten in de toen 16 jaar oude dijk van de Wieringermeer geblazen.	B2
2942	Het op twee plaatsen instromende water veroorzaakte twee kolkgaten, de huidige twee wielen, van aanvankelijk 20 en 26 meter diep.	B2
2943	In twee dagen stroomde de polder vol.	B2
2944	Een gierkelder, afkomstig van de boerderij waarvan het fundament in het zuidelijke wiel nog zichtbaar is, spoelde 400 meter in zuidwestelijke richting weg.	B2
2945	Aan de oostelijke rand van het bos ligt deze daar, aan een ruiterpad, nog altijd.	B2
2946	Na de oorlog kreeg het herstel van de polder een hoge prioriteit.	B2
2947	Reeds op 5 augustus 1945 was de dijk waterinwaarts weer gesloten.	B2
2948	Restanten van het oude dijklichaam bevinden zich nog immer tussen de twee wielen in.	B2
2949	Op 9 augustus werd met het malen gestart.	B2
2950	Een werveling van lucht zwiepte tegen de planten in de grote, steile tuin van Bell Gardia.	B2
2951	Ter bescherming hield de vrouw instinctief haar elleboog voor haar gezicht en bolde haar rug.	B2
2952	Maar onmiddellijk kwam ze weer bij haar positieven en ging rechtop staan.	B2
2953	Ze was nog voor de dageraad gekomen, ze had het licht steeds hoger zien klimmen, maar de zon bleef verborgen.	B2
2954	Ze was snel naar de telefooncel gelopen en had gezien dat die heel broos was, als suikerspin en meringues, alsof er ontelbare vingers van hadden gesnoept.	B2
2955	De wind ging al stormachtig tekeer, er was geen tijd meer.	B2
2956	Gevederde dinosauriërs werden geteisterd door vergelijkbare insecten als moderne vogelluizen (Nature Communications, 10 december).	C1
2957	Dit nieuw ontdekte insect – Mesophthirus engeli – in zo’n 100 miljoen jaar oude stukjes amber, heeft sterke monddelen om mee te kauwen en een vergelijkbaar bouwplan als moderne luizen.	C1
2958	Ook tonen de in amber gevangen veren beschadigingen die lijken op knaagschade.	C1
2959	Dit alles wijst er volgens de onderzoekers op dat het parasiteren op veren waarschijnlijk al ontstond tijdens de diversificatie van vogels en gevederde dino’s.	C1
2960	In Walibi België is een nieuwe achtbaan voor het eerst getest.	A1+
2961	Als de achtbaan opengaat, is het de snelste en hoogste achtbaan van de Benelux.	A1+
2962	De achtbaan haalt een topsnelheid van 115 kilometer per uur en is 50 meter hoog.	A1+
2963	De attractie gaat Kondaa heten.	A1+
2964	Walibi België ligt vlakbij de Belgische stad Waver.	A1+
2965	Het park is vanwege de corona-maatregelen gesloten.	A1+
2966	Het is de bedoeling dat het park en de nieuwe achtbaan in de lente van 2021 opengaan.	A1+
2967	Op dit moment is de Goliath in Walibi Nederland nog de snelste achtbaan van de Benelux.	A1+
2968	Die haalt een topsnelheid van 106 kilometer per uur.	A1+
2969	Al jaren test hij draadloze oordopjes en koptelefoons voor kleine en grotere budgetten.	A2+
2970	Bart Breij wat de allerbeste noise cancelling koptelefoon is voor op het werk.	A2+
2971	Op Barts website Scarbir.com en op medium.com/@scarbir staan meer dan 200 reviews van oordopjes en koptelefoons.	A2+
2972	Zijn lezers geven aan dat ze goede noise cancelling het belangrijkst vinden bij een koptelefoon voor op het werk.	A2+
2973	Daarom is dat het belangrijkste uitgangspunt bij deze test.	A2+
2974	Verder let Bart op draagcomfort, geluids- en belkwaliteit, voor zowel gewoon bellen als videobellen, wat we sinds coronatijd steeds meer doen.	A2+
2975	Op naar de review.	A2+
2976	Bart, the floor is yours!	A2+
2977	De huidige samenleving wordt gekenmerkt door een grote mate van diversiteit.	B2
2978	Grote steden als Rotterdam en Amsterdam kennen inmiddels meer inwoners met een migratieachtergrond dan inwoners zonder migratieachtergrond en kunnen hierdoor worden bestempeld als zogenoemde majority-minority cities (Crul, Schneider, & Lelie, 2013).	B2
2979	Er is geen meerderheid meer en iedereen is daarom onderdeel van een minderheid.	B2
2980	Ook de diversiteit binnen de verschillende groepen in de samenleving is groot en wordt groter (Geldof, 2014).	B2
2981	Er is een groeiende diversiteit in achtergronden op het gebied van nationaliteit, religie, migratiemotieven, verblijfsstatuten, sociaaleconomische posities en transnationalisme (bijvoorbeeld in termen van intensieve contacten met het buitenland).	B2
2982	Deze diversificatie van de diversiteit wordt ook wel omschreven als superdiversiteit (Vertovec, 2007).	B2
2983	In het kader van dit project ‘De kracht van diversiteit’ vatten we het begrip diversiteit breed op en focussen we niet alleen op diversiteit gerelateerd aan cultuur, etniciteit of religie: diversiteit gaat óók over verschillen in leeftijd, gender, seksuele geaardheid, lichamelijke beperkingen, opleidingsniveau, woonplaats en wijk.	B2
2984	De diversiteit onder mensen met een migratieachtergrond is groot, maar er is onder mensen zonder migratieachtergrond net zo goed sprake van diversiteit.	B2
2985	Diversiteit gaat in deze brede opvatting dus zowel over diversiteit tussen verschillende (sociale) groepen als over diversiteit binnen groepen (diversiteit op individueel niveau).	B2
2986	Omdat die diversiteit op alle verschillende bovengenoemde vlakken zo groot is, is een belangrijk aspect van superdiversiteit dat mensen niet op één kenmerk zijn ‘vast te pinnen’.	B2
2987	Dna-onderzoek heeft er na 75 jaar toe geleid dat de identiteit van een onbekende drenkeling in Uithuizermeeden is vastgesteld.	B2
2988	Het lichaam van de man spoelde kort na de bevrijding aan op een dijk bij het Groningse dorp.	B2
2989	Een dna-match met zijn broer wijst nu uit dat het gaat om het lichaam van Henk Gritter.	B2
2990	Gritter was in 1945 een van de opvarenden van het schip De Joanna, dat vlak voor de haven van Delfzijl zonk, enkele dagen na de bevrijding.	B2
2991	Aan boord waren 45 bevrijde gevangenen uit Duitsland.	B2
2992	Zeven van hen overleefden de schipbreuk, de rest van de bemanning verdronk.	B2
2993	Deze persoon werd in Uithuizermeeden begraven als Nomen Nescio, Latijn voor 'naam onbekend'.	B2
2994	In de jaren 80 bestond al het vermoeden dat het ging om Henk Gritter.	B2
2995	Maar omdat dit niet zeker was, werd de naam op verzoek van de nabestaanden niet gedeeld met de media.	B2
2996	Om voor eens en voor altijd duidelijkheid te krijgen vroeg een rechercheur dit jaar aan de gemeente of het onbekende graf daadwerkelijk van Henk Gritter was.	B2
2997	Om dat met 100 procent zekerheid te kunnen vaststellen, werd aanvullend dna-onderzoek gedaan.	B2
2998	De match was er uiteindelijk met het dna van de enige nog levende broer van Henk Gritter.	B2
2999	Wachten om onderwezen te worden ?	B1
3000	Of zelf bereid zijn te leren?	B1
3001	Zijn dit eigenschappen van verschillende mensen, of zitten beide mogelijkheden ingebakken in elk persoon?	B1
3002	Taught Versus Learn, A Distinguishing Factor.	B1
3003	Mr. Kimmi beschrijft hier het verschil tussen mensen die wachten om onderwezen te worden en de mensen die zelf bereid zijn te leren.	B1
3004	Op de foto staan leerlingen in Irak met een OLPC (One Laptop Per Child).	B1
3005	De leerlingen zitten hier natuurlijk niet in hun eigen omgeving, maar het ziet er naar uit dat ze bezig zijn om de computer met de groene oren te onderzoeken.	B1
3006	Het is niet duidelijk waar ze mee bezig zijn, maar dat ze leren is wel duidelijk.	B1
3007	En het lijkt er op dat ze dat zelf (willen) doen.	B1
3008	Mr. Kimmi blogt over docenten en zoekt naar de verschillen tussen docenten die blijven wachten, en docenten die zelf aan de slag gaan.	B1
3009	Hij denk dat het verschil zit tussen docenten die willen veranderen en docenten die het allemaal wel goed vinden.	B1
3010	Docenten die het werk niet kunnen achterlaten op hun werk, maar er thuis of onderweg mee bezig blijven.	B1
3011	Ik weet niet of dat helemaal juist is.	B1
3012	Henny keek op en spitste haar oren.	B2
3013	Een geluid vol verlangen vond vanaf de binnenplaats zijn weg naar de tweede etage, een geluid vol verlangen zoals het slaan van een klok of het zingen van een merel.	B2
3014	De zaterdagen van haar kinderjaren schoten haar te binnen.	B2
3015	Zomerse zaterdagen.	B2
3016	De glinstering in het water van de regenton.	B2
3017	De witte bessen die ze van de struiken voor de achtermuur van de binnenplaats mocht plukken.	B2
3018	De geur van de taart die haar moeder voor de zondag in de oven had staan.	B2
3019	Haar vader die thuiskwam uit kantoor en zachtjes floot, terwijl hij zijn das losmaakte, de kraag van zijn overhemd losknoopte.	B2
3020	Henny liep naar het raam, opende het en luisterde naar het geluid dat al die beelden bij haar had opgeroepen.	B2
3021	Het piepen van de oude schommel.	B2
3022	Het was nog lang geen zomer.	B2
3023	De kleine jongen op de schommel beneden droeg grofgebreide slobkousen en een kort jasje, de hemel boven hem was grijs, de struiken waren nog kaal.	B2
3024	Maar aan de rand van het weiland liepen de eerste katjes al uit, er stonden lenteklokjes op het grasveldje en ook het licht leek hoopvoller te zijn dan nog maar een paar dagen geleden.	B2
3025	De donkere maanden van de winter waren voorbij en daarmee de donkere jaren van de oorlog.	B2
3026	De dodo is een uitgestorven diersoort.	B1+
3027	Het was een vogel die op het ooit onbewoonde eiland Mauritius leefde.	B1+
3028	De dodo kon niet vliegen.	B1+
3029	Omdat hij geen natuurlijke vijanden had, was hij deze vaardigheid kwijtgeraakt.	B1+
3030	Hij was een meter hoog, een beetje dik, had grote voeten, vleugelstompjes, een plukje veren op zijn kont, een korte hals en een dikke, gebogen zwarte snavel.	B1+
3031	Eeuwenlang leefden dodo's ongestoord op het eiland Mauritius, tot de Nederlanders het in 1638 koloniseerden.	B1+
3032	De Nederlanders zochten eten en de onnozele dodo's bleken een gemakkelijke prooi.	B1+
3033	Ze beschreven hem als kuifzwaan of wilde kalkoen.	B1+
3034	Ook noemden ze hem walgvogel, omdat het vlees taai en smerig bleek.	B1+
3035	Toch hebben ze er vermoedelijk veel gegeten.	B1+
3036	Een andere oorzaak voor het uitsterven zijn de geiten, varkens en honden die de Hollanders meebrachten naar het eiland.	B1+
3037	De varkens aten de eieren op van de dodo's.	B1+
3038	De geiten aten de nesten op.	B1+
3039	Die aten veel dodo-eieren.	B1+
3040	Zeker is in elk geval dat in 1662 de laatste dodo is gezien.	B1+
3041	Wetenschappers vermoeden dat hij rond 1690 is uitgestorven.	B1+
3042	Helaas is er geen enkele opgezette dodo bewaard gebleven.	B1+
3043	Diverse musea bezitten botten, een kop of een ei, maar hoe hij er exact heeft uitgezien weet niemand zeker.	B1+
3044	Rijkswaterstaat pakt het knooppunt Hoevelaken aan en verbreedt de aansluitende delen van de A28 en A1.	B2
3045	Zo verbeteren we de doorstroming en de verkeersveiligheid.	B2
3046	Daarmee vergroten we de leefbaarheid voor de omgeving en de bereikbaarheid van het midden van Nederland.	B2
3047	Hoevelaken is een begrip vanwege het aantal files dat er staat.	B2
3048	Vanaf 2025 is dit verleden tijd, dan maakt het klaverblad met krappe bochten plaats voor een nieuw knooppunt in de vorm van een kom met ruime verbindingswegen.	B2
3049	Belangrijke doelstellingen van het project zijn het verbeteren van de bereikbaarheid en de leefbaarheid van de omgeving.	B2
3050	Dat doen we onder andere door het invullen van regiowensen vanuit de betrokken gemeenten en provincies.	B2
3051	De aanpassingen aan het knooppunt en de aansluitende delen van de A28 en de A1 moeten ervoor zorgen dat de wegen de groeiende verkeersstroom goed kunnen verwerken.	B2
3052	Het gaat hierbij om te beginnen om maatregelen zodat voldaan wordt aan wet- en regelgeving op het gebied van geluidhinder en natuurbescherming.	B2
3053	Het was nacht in Oslo en het sneeuwde.	B2+
3054	Grote, schijnbaar onschuldige sneeuwvlokken daalden uit de hemel neer en landden op de daken, de straten en de parken van de stad.	B2+
3055	De sneeuwvlokken zouden bijvoorbeeld ook van de maan kunnen komen, die af en toe tevoorschijn kwam door spleetjes in het wolkendek en een betoverd licht op de slapende stad wierp.	B2+
3056	De sneeuwvlokken die op het asfalt voor het raadhuis vielen, smolten onmiddellijk en stroomden als water naar het dichtstbijzijnde putdeksel, en dat water liep vervolgens door de opening in het deksel en kwam in een buis waar het onmiddellijk verder werd gevoerd door het stelsel van rioolbuizen dat kriskras onder de stad Oslo door loopt.	B2+
3057	Niemand weet helemaal zeker wat er in de wereld van het riool leeft, maar als je zo dom en moedig zou zijn geweest om die decembernacht naar beneden te klimmen, heel stil te zijn en je adem in te houden, zou je wel een paar merkwaardige dingen hebben gehoord.	B2+
3058	Het is nacht in Oslo en het regent op de stille, slapende stad.	B2
3059	Maar slaapt de stad wel echt?	B2
3060	Een van de regendruppels raakt de wijzerplaat van de toren van het raadhuis, klampt zich een poosje vast aan het uiterste puntje van de grote wijzer, laat dan los en valt zeven verdiepingen naar beneden.	B2
3061	Daar raakt hij met een zacht plensje het asfalt en stroomt verder langs de tramrails, samen met de andere regendruppels.	B2
3062	Als we deze regendruppel hadden gevolgd door de Oslose nacht, op zijn weg naar het putdeksel, zouden we een zacht geluid hebben gehoord dat de stilte doorbrak.	B2
3063	Dat zachte geluid zou iets harder zijn geworden als de waterdruppel door het gaatje in het putdeksel zou zijn gevallen en in het rioolstelsel van Oslo terecht zou zijn gekomen, waar het duister nog dieper is.	B2
3064	Zo lang de Gemeente Amsterdam bestaat wordt zij al georganiseerd, en gereorganiseerd.	B2
3065	De structuur (functies, beslissingsbevoegdheden, samenwerkingsrelaties) worden aangepast aan de eisen die de omgeving, burgers, bestuurders of “de tijd” aan ons stelt.	B2
3066	Door de jaren heen heeft Amsterdam veel ervaring opgedaan met dit proces.	B2
3067	Groot was dan ook onze verbazing toen we in 2016 constateerden dat er weinig concrete handleidingen waren om dit proces efficiënt en effectief uit te voeren.	B2
3068	Vandaar dat het Management Team (MT) van Bureau P&O opdracht heeft gegeven voor het project “P&O, Kracht achter Reorganiseren”.	B2
3069	Aan de hand van praktijkervaringen zijn best practices vastgelegd in een standaard proces.	B2
3070	Medewerkers zijn hierin getraind, er zijn 24 checklisten ontwikkeld en uiteindelijk is al deze kennis samengebracht in dit draaiboek.	B2
3071	Dit draaiboek is gemaakt voor en door P&O professionals en is met betrokkenheid van een werkgroep namens de Ondernemingsraad (OR) tot stand gekomen.	B2
3072	Dit draaiboek gaat over het reorganisatieproces.	B2
3073	De basis ligt vast in de NRGA.	B2
3074	We hebben het over reorganiseren als een verandering in de organisatie inrichting gepaard gaat met personele gevolgen.	B2
3075	Reorganiseren is geen doel op zich maar een middel binnen een veranderaanpak.	B2
3076	Een middel dat wordt ingezet als het bijdraagt aan de beoogde veranderopgave.	B2
3077	Het draaiboek is een hulpmiddel om die verandering, en de ondersteuning daarbij, effectiever te laten verlopen.	B2
3078	En wordt er gereorganiseerd?	B2
3079	Dan faciliteren de professionals van P&O de reorganisatie professioneel, zorgvuldig en transparant.	B2
3080	En vervolgens ook door de inhoud.	B1+
3081	Ook al gaat de auteur nauwelijks in op maatregelen die bij aan de effectiviteit van online leren, maar vooral op wat de waarde van online leren kan helpen vergroten.	B1+
3082	Deze bijdrage richt zich op online leren voor en binnen arbeidsorganisaties.	B1+
3083	De auteur stelt dat online leren na 2020 niet meer weg te denken is.	B1+
3084	De waarde ervan, ook ten opzichte van traditionele manieren van leren, staat echter ter discussie.	B1+
3085	Hoe moet je daar mee omgaan?	B1+
3086	Neem een kampioen ‘online leren’ aan.	B1+
3087	Deze persoon functioneert dan op het niveau van het “executive leadership team“.	B1+
3088	De persoon overziet alle aspecten van online leren, en heeft de ruimte en middelen om leiding te geven aan de verdere invoering van online leren.	B1+
3089	Mijn opmerking: binnen het bestuur zou inderdaad een persoon verantwoordelijk moeten zijn voor L&D waar ‘technology enhanced learning’ een prominent deel van uit maakt.	B1+
3090	Deze persoon moet echter vooral goede beleidsondersteuning op dit terrein krijgen.	B1+
3091	Je kunt als bestuurder en manager geen expert zijn op elk belangrijk thema binnen je organisatie.	B1+
3092	Affiniteit, verantwoordelijkheid, goed kunnen luisteren en ondersteuning zijn belangrijker dan inhoudelijke expertise op specifieke terreinen.	B1+
3093	Het kabinet adviseert alle Nederlanders om in alle publieke binnenruimtes een mondkapje te dragen.	B1
3094	Het station is zo’n publieke binnenruimte.	B1
3095	Voor de veiligheid van onze reizigers en medewerkers volgen de OV-bedrijven, ProRail en NS dit dringende advies van de overheid.	B1
3096	Wij adviseren iedereen dringend om ook op het station en op de perrons een mondkapje te dragen.	B1
3097	En daarmee goed voor elkaar te zorgen.	B1
3098	Verder blijft de verplichting om een mondkapje in de trein te dragen van kracht.	B1
3099	Mondkapjes dragen is misschien niet altijd prettig, maar zo helpen we om het coronavirus onder controle te krijgen.	B1
3100	Houd waar mogelijk ook anderhalve meter afstand.	B1
3101	In een gehucht in centraal Frankrijk zijn drie agenten doodgeschoten.	B1+
3102	De politie kwam afgelopen nacht af op een melding van huiselijk geweld, niet ver van de plaats Saint-Just, in het departement Puy-de-Dôme.	B1+
3103	De dader werd in de ochtend dood gevonden in zijn auto.	B1+
3104	Hoe hij aan zijn einde is gekomen is nog niet duidelijk.	B1+
3105	De agenten kwamen aan het begin van de nacht bij de woning en zagen een vrouw die naar het dak was gevlucht.	B1+
3106	Twee gendarmes die haar probeerden te redden, werden door haar man onder vuur genomen.	B1+
3107	Een van de agenten overleed aan zijn verwondingen, de ander werd naar het ziekenhuis gebracht.	B1+
3108	Vervolgens stak de schutter het huis in brand en schoot hij opnieuw op de politie.	B1+
3109	Daarbij kwamen nog eens twee agenten om.	B1+
3110	De vrouw is in veiligheid gebracht.	B1+
3111	De schutter, een man van 48, was een bekende van de politie, omdat het stel ruzie had over de voogdij van de kinderen.	B1+
3112	De drie doodgeschoten agenten waren 21, 37 en 45 jaar oud.	B1+
3113	President Macron heeft zijn medeleven betuigd met de nabestaanden.	B1+
3114	Filosoferen brengt ons in verwarring.	B2+
3115	Het wil ons niet geruststellen maar schudt ons wakker en verheldert ons denken.	B2+
3116	Daarom hebben we het ook zo hard nodig.	B2+
3117	Filosoferen is tegenwoordig des te onmisbaarder, omdat het haaks staat op het huidige dogmatische denken.	B2+
3118	Haaks op alle theorieën van de experts.	B2+
3119	Van de mensen die alles al begrijpen, alles al weten, en je dat zo goed laten voelen.	B2+
3120	Socrates, de vader van alle filosofen, benadrukte altijd dat hij nergens een expert in was.	B2+
3121	Hij ging de straat op om vragen te stellen aan iedereen, over hun leven, hun vak, hun voorkeuren...	B2+
3122	Hij wilde ons niet de les lezen.	B2+
3123	Integendeel, hij verklaarde juist dat hij niets wist, dat hij niet eens ‘wijs’ was – een staat die volgens hem alleen de goden bereikten, als die al bestonden.	B2+
3124	Wij zijn zeker geen goden, dus het heeft geen zin om daarnaar te streven.	B2+
3125	Laten we mens zijn.	B2+
3126	Daar hebben we alles bij te winnen.	B2+
3127	Omdat de filosofie dat weet, vraagt ze ons niet om ‘wijs’ te worden, een volmaakt wezen, een god, maar om vrede te sluiten met onze eigen menselijkheid.	B2+
3128	Daarom durfde Socrates ook vragen te stellen en twijfels te uiten over alles wat onbetwistbaar en voor de hand liggend leek.	B2+
3129	In de Amerikaanse staat Arizona zijn drie schoorstenen opgeblazen.	B1
3130	Ze werden al jaren niet meer gebruikt en stonden in de weg.	B1
3131	De schoorstenen hoorden bij een energiecentrale.	B1
3132	Jarenlang werden hier steenkolen gebruikt om elektriciteit op te wekken.	B1
3133	Maar omdat er tegenwoordig goedkopere en milieuvriendelijke opties zijn, werd de centrale gesloten.	B1
3134	De bouwwerken waren meer dan 200 meter hoog.	B1
3135	Waren dus, want met behulp van wat explosieven bleef er niet veel van over.	B1
3136	Zo ziet het leven eruit als iedereen altijd een potentieel doelwit is Drones zouden oorlog ‘preciezer’ maken en daarmee ‘humaner’.	B2
3137	Protocollen zouden ervoor zorgen dat burgers niet worden geraakt.	B2
3138	In Noord-Irak zag ik de andere kant van dat verhaal.	B2
3139	De inwoners leven in permanente angst voor Turkse drones, die altijd en overal kunnen toeslaan.	B2
3140	Als burgers geraakt worden gebeurt er niets: geen onderzoek, geen verantwoording, geen excuses.	B2
3141	Drones maken oorlogsvoering makkelijker, maar ook minder zichtbaar.	B2
3142	Met als gevolg dat ook slachtoffers buiten beeld blijven.	B2
3143	Peyman Talib, de vrouw op de foto hieronder, verloor in juni een been bij een Turkse droneaanval.	B2
3144	Haar zoontje heeft een bomscherf in zijn hoofd.	B2
3145	Ik licht hen hier als voorbeeld uit zodat de mensen die door deze vorm van moderne oorlogsvoering geraakt worden toch gezien worden.	B2
3146	Vandaag publiceer ik mijn ooggetuigenverslag uit Noord-Irak.	B2
3147	Peyman gaat graag met je in gesprek onder het stuk.	B2
3148	Maar hoe komt Turkije aan die drones?	B2
3149	Om een antwoord te vinden op die vraag verdiepte ik me de afgelopen tijd in de Turkse defensie-industrie.	B2
3150	Bewapende drones staan al een jaar of vijftien hoog op het verlanglijstje van de Turken.	B2
3151	Come Away is het verhaal van Alice en Peter.	A2+
3152	Ja, die van Alice in Wonderland en Peter Pan. Dat kán niet anders dan een film vol fantasie opleveren.	A2+
3153	Het verhaal speelt zich af vóórdat Alice haar Wonderland vindt en Peter naar Neverland vertrekt.	A2+
3154	De twee zijn in de film broer en zus.	A2+
3155	Ze genieten van een onbezorgde jeugd in het negentiende-eeuwse Engeland.	A2+
3156	Totdat hun oudste broer David bij een ongeluk overlijdt.	A2+
3157	Moeder Rose, verscheurd door verdriet, kan er niet zijn voor Alice en Peter zoals ze dat daarvoor deed.	A2+
3158	Vader Jack stort zichzelf in de schulden.	A2+
3159	De twee kinderen zetten alles op alles om het gezin weer gelukkig te maken.	A2+
3160	Vooral Peter gaat daarbij helemaal op in zijn eigen fantasiewereld.	A2+
3161	Wat als Alice en Peter Pan broer en zus waren geweest?	A2+
3162	Het antwoord vraagt om een rijke verbeelding, en dat hebben de makers zeker.	A2+
3163	Fantasie en werkelijkheid lopen dwars door elkaar.	A2+
3164	Keer op keer wordt de kijker getrakteerd op prachtige, sprookjesachtige beelden.	A2+
3165	Want dromen is veel te fijn.	A2+
3166	Toch heeft Come Away ook een ‘maar’.	A2+
3167	Want door al die dromerigheid is de film wat chaotisch.	A2+
3168	Een goed begin is het het halve werk.	A2
3169	Dat dacht Rafael Leão, aanvaller van AC Milan, vandaag ook.	A2
3170	In de wedstrijd tegen Sassuolo scoorde hij al na 6,2 seconden.	A2
3171	En dat is een record!	A2
3172	Nog nooit scoorde iemand zo snel in de Italiaanse competitie.	A2
3173	Het snelste doelpunt ooit in de Nederlandse Eredivisie werd bijna veertig jaar geleden in 1982 gemaakt.	A2
3174	Koos Waslander, destijds een speler van NAC Breda, scoorde na 8 seconden.	A2
3175	Duitsland, of officieel Bondsrepubliek Duitsland, is een land in het midden van Europa.	B1
3176	De hoofdstad is Berlijn en Duits is de officiële taal.	B1
3177	In Duitsland betalen ze met de euro.	B1
3178	Duitsland is één van de grootste landen van Europa en ook één van de grootste economieën ter wereld.	B1
3179	Ook is Duitsland de belangrijkste handelspartner van zowel België als Nederland.	B1
3180	Het land is lid van de Verenigde Naties, de NAVO, de Europese Unie en de G8.	B1
3181	Duitsland heeft een lange geschiedenis.	B1
