Index	Level	Language	Sentence	Normalized	Corrected	Clause_type	Verb_type	Error_type	Clause_structure	Confidence
112	B1+	Éwé	Volgens me, de zorg en de attentie we geven aan de zwaksten van onze maatschappij tonen onze mensheid aan.	Volgens mij de zorg en de attentie die we geven aan de zwaksten van onze maatschappij tonen onze mensheid aan.	Volgens mij tonen de zorg en de attentie die we aan de zwaksten van onze maatschappij geven onze mensheid aan.	m	f	verb-second	a s m fv o p	4
112	B1+	Éwé	Volgens me, de zorg en de attentie we geven aan de zwaksten van onze maatschappij tonen onze mensheid aan.	Volgens mij de zorg en de attentie die we geven aan de zwaksten van onze maatschappij tonen onze mensheid aan.	Volgens mij tonen de zorg en de attentie die we aan de zwaksten van onze maatschappij geven onze mensheid aan.	s	f	verb-final	se s fv po	4
113	B1+	Éwé	In mijn ideaal land, zou niemand eenzaam voelen; en solidariteit moet de basisregel zijn.	In mijn ideale land zou niemand zich eenzam voelen en zou solidariteit moeten de basisregel zijn.	In mijn ideale land zou niemand zich eenzaam voelen en zou solidariteit de basisregel moeten zijn.	m	nf	verb-final	ce fv s nfv o nfv	4
114	B1+	Éwé	Dus, vind ik dat ik heb genoeg tijd en ben aan het doen wat ik denk nuttig voor mijn leven dat is mensen helpen.	Dus vind ik dat ik heb genoeg tijd en ben aan het doen wat nuttig is voor mijn leven.	Dus vind ik dat ik genoeg tijd heb en aan het doen ben wat nuttig is voor mijn leven.	s	f	verb-final	se s fv o	3
114	B1+	Éwé	Dus, vind ik dat ik heb genoeg tijd en ben aan het doen wat ik denk nuttig voor mijn leven dat is mensen helpen.	Dus vind ik dat ik heb genoeg tijd en ben aan het doen wat nuttig is voor mijn leven.	Dus vind ik dat ik genoeg tijd heb en aan het doen ben wat nuttig is voor mijn leven.	s	f	verb-final	se fv m o	3
116	A2+	Arabisch	Nu zal ik Paolo een e-mail sturen om hem uit te nodigen,  en dan zal ik naar de link gaan en lees de alle info, daarna zal ik een abonnement nemen.	Nu zal ik Paolo een e-mail sturen om hem uit te nodigen, en dan zal ik naar de link gaan en lezen alle info.	Nu zal ik Paolo een e-mail sturen om hem uit te nodigen, en dan zal ik naar de link gaan en alle info lezen.	m	nf	verb-final	a fv s a nfv m nfv o	2
117	B1+	Turks	Hoe meer partijen het geld aan de advertenties uitgeven, hoe meer kans ze hebben om hun campagnes te voeren.	Hoe meer de partijen geld aan advertenties uitgeven, hoe meer kansen ze hebben om hun campagnes uit te voeren.	Hoe meer geld de partijen aan advertenties uitgeven, hoe meer kansen ze hebben om hun campagnes uit te voeren.	s	0	misc	0	3
118	B1+	Perzisch	Als je spoor de mensen op, dan waarschuw je met een seintje en daarom zal je niet gaan naar de buurt waar er iemand is geweest die corona heeft.	Als je spoort de mensen op, dan waarschuw je ze met een seintje.	Als je de mensen opspoort, dan waarschuw je ze met een seintje.	s	f	verb-final	se s fv o p	3
119	B1+	Russisch	Interview is niet alleen een interessante ervaring, maar ook een moment wanneer kan er iemand het vorige en toekomstige jaren nadenken.	Een interview is niet alleen een interessante ervaring, maar ook een moment waarop kan iemand over de afgelopen en toekomstige jaren nadenken.	Een interview is niet alleen een interessante ervaring, maar ook een moment waarop iemand kan nadenken over de afgelopen en toekomstige jaren.	m	pc	post-verbal	fv s pc nfv	2
120	B1+	Russisch	Zonder twijfel, naarmate we meer over de wereld weten, begrijpen we beter de ingewikkeldheid van het milieu.	Zonder twijfel, naarmate we meer over de wereld weten, begrijpen we beter de ingewikkeldheid van het milieu.	Zonder twijfel, naarmate we meer over de wereld weten, begrijpen we de ingewikkeldheid van het milieu beter.	m	0	misc	0	1
121	B1+	Russisch	Ook deze ontwikkeling zal nieuwe mogelijkheden voor de burgers brengen: vacatures, een verbetering van de infrastructuur, de verhoging van de effectiviteit van het werk en zo voort.	Ook deze ontwikkeling zal nieuwe mogelijkheden voor de burgers brengen.	Deze ontwikkeling zal ook nieuwe mogelijkheden voor de burgers brengen.	m	f	verb-second	a s fv o m nfv	3
122	B1	Roemeens	Ik heb flauw idee over wat gat he gebeuren vandaag in de les.	Ik heb geen flauw idee wat gaat er gebeuren vandaag in de les.	Ik heb geen flauw idee wat er vandaag in de les gaat gebeuren.	s	f	verb-final	se fv m nfv a a	4
122	B1	Roemeens	Ik heb flauw idee over wat gat he gebeuren vandaag in de les.	Ik heb geen flauw idee wat gaat er gebeuren vandaag in de les.	Ik heb geen flauw idee wat er vandaag in de les gaat gebeuren.	s	nf	verb-final	se fv m nfv a a	4
123	B1+	Thai	We maken deel uit van elkaar dat betekent dat we verantwoordelijk samen hebben.	Dat betekent dat we verantwoordelijk samen zijn.	Dat betekent dat we samen verantwoordelijk zijn.	s	0	misc	0	4
124	B1+	Arabisch	Twee jaar geleden begon ik mijn Nederlands leren reis en tot op dit moment het interessant is, ik ben trots dat ik nu kan spreken en dat ik tot niveau 4 heeft bereikt.	Twee jaar geleden begon ik met Nederlands leren en tot nu toe het nog steeds interessant is.	Twee jaar geleden begon ik met Nederlands leren en tot nu toe is het nog steeds interessant.	m	f	verb-second	a s a a fv	3
125	B1+	Arabisch	Ik ben bijna al vijf jaar nu in België en ik ben met het nederlands leren na drie jaren.	Ik ben bijna al vijf jaar nu in België en ik ben met het Nederlands leren na drie jaar begonnen.	Ik ben al bijna vijf jaar nu in België en ik ben met het Nederlands leren na drie jaar begonnen.	m	0	misc	0	2
127	B1+	Arabisch	In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies.	In het begin ik wou niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies.	In het begin wou ik niet starten want ik twijfelde of ik hier ga blijven wonen na mijn studies.	m	f	verb-second	a s fv a nfv	5
128	B1+	Arabisch	Ik vind woordenschat studeren essentieel is omdat met nieuwe woordenschat kan je meer beter zinnen formuleren in beide schrijven en spreken, bovendien kan je meer zinnen begrijpen.	Ik vind dat woordenschat studeren essentieel is omdat met een grotere woordenschat kan je betere zinnen formuleren.	Ik vind dat woordenschat studeren essentieel is omdat je met een grotere woordenschat betere zinnen kan formuleren.	s	f	verb-final	se a fv s o nfv	4
129	B1+	Arabisch	Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks.	Bovendien af en toe lees ik artikels in het Nederlands en ik kijk vaak naar Vlaamse reeksen.	Bovendien lees ik af en toe artikels in het Nederlands en kijk ik vaak naar Vlaamse reeksen.	m	f	verb-second	a a fv s o a	2
129	B1+	Arabisch	Bovendien af en toe, lees ik artikels in het Nederlands en ik kijk vaak naar vlaamse reeks.	Bovendien af en toe lees ik artikels in het Nederlands en ik kijk vaak naar Vlaamse reeksen.	Bovendien lees ik af en toe artikels in het Nederlands en kijk ik vaak naar Vlaamse reeksen.	m	f	verb-second	ce s fv a po	2
130	B1	Frans	Als ik de leider van de group ben, heb ik aan een trip die we kunnen samen doen gedacht.	Omdat ik de leider van de groep ben, heb ik een trip bedacht die we kunnen samen doen.	Omdat ik de leider van de groep ben, heb ik een trip bedacht die we samen kunnen doen.	s	f	verb-final	se s fv a nfv	3
131	B1	Frans	Ik ben heel blij omdat zullen we de club bezoeken en de spelers ontmoeten.	Ik ben heel blij omdat zullen we de club bezoeken en de spelers zullen ontmoeten.	Ik ben heel blij omdat we de club zullen bezoeken en de spelers zullen ontmoeten.	s	f	verb-final	se fv s o nfv	4
132	B1	Tamil	Ik vond ook het Engles literatuur echt interessant.	Ik vond ook de Engelse literatuur echt interessant.	Ik vond de Engelse literatuur ook echt interessant.	m	0	misc	0	5
133	B1	Spaans	Misschien houdt ze niet ook van aggresieve sporten of in een team te spelen?	Misschien houdt ze niet ook van agressieve sporten of van in een team te spelen?	Misschien houdt ze ook niet van agressieve sporten of van in een team te spelen?	m	0	misc	0	4
134	B1	Russisch	Ik begrijp heel goed dat u zich zorgen maken dat jou kind niet van houdt sporten.	Ik begrijp heel goed dat u zich zorgen maakt dat uw kind niet van houdt sporten.	Ik begrijp heel goed dat u zich zorgen maakt dat uw kind niet van sporten houdt.	s	f	verb-final	se s a p fv po	5
135	A2	Frans	Ik weet dat de weer is koud.	Ik weet dat het weer is koud.	Ik weet dat het weer koud is.	s	f	verb-final	se s fv a	5
139	A2	Hindi	Ik zie dat Bert uitgenodigd Anna, Paolo en Sam heeft voor eten.	Ik zie dat Bert uitgenodigd Anna, Paolo en Sam heeft voor het eten.	Ik zie dat Bert Anna, Paolo en Sam heeft uitgenodigd voor het eten.	s	nf	verb-final	se s nfv o fv pc	5
140	A2+	Spaans	Ze liever in de winkel werken omdat ze met mensen kun praten.	Ze liever in de winkel werkt omdat ze met mensen kan praten.	Ze werkt liever in de winkel omdat ze met mensen kan praten.	m	f	verb-second	s a a fv 	5
142	A2+	Spaans	Sam heeft de mandarijntjes niet gezien omdat hij heeft vorige week te laat gewerkt en Anna is kwalijk met Sam.	Sam heeft de mandarijntjes niet gezien omdat hij heeft vorige week te laat gewerkt.	Sam heeft de mandarijntjes niet gezien omdat hij vorige week te laat heeft gewerkt.	s	f	verb-final	se s fv a a nfv	5
143	A2+	Spaans	Sam weet niet dat.	Sam weet niet dat.	Sam weet dat niet.	m	0	misc	0	5
144	A2	Turks	Soms als ik de betekenis van een woord niet weet dan probeer ik een verbond maken tussen Engels en Nederlands en deze methode soms helpt mij een beetje.	Deze methode soms helpt mij een beetje.	Deze methode helpt mij soms een beetje.	m	f	verb-second	s a fv o a	4
146	A2	Turks	Die dingen die ik vind moeilijk zijn de artikelen en een paar grammatica regels.	De dingen die ik vind moeilijk zijn de lidwoorden en een paar grammaticaregels.	De dingen die ik moeilijk vind zijn de lidwoorden en een paar grammaticaregels.	s	f	verb-final	se s fv a	5
147	A2+	Grieks	Anna studeert Italiaans met Paulo drie keer per week.	Anna studeert Italiaans met Paulo drie keer per week.	Anna studeert drie keer per week Italiaans met Paulo.	m	0	misc	0	3
148	A2+	Grieks	Mijn familie kom uit Cyprus en ze wonen in Cyprus ook.	Mijn familie komt uit Cyprus en ze wonen in Cyprus ook.	Mijn familie komt uit Cyprus en ze wonen ook in Cyprus.	m	0	misc	0	5
149	A2+	Grieks	Mijn studio is klein maar is er een grote teras.	Mijn studio is klein maar is er een groot terras.	Mijn studio is klein maar er is een groot terras.	m	f	verb-second	ce fv m o	4
150	A2+	Grieks	Ik blif om zeven uur elke dag thuis.	Ik blijf om zeven uur elke dag thuis.	Ik blijf elke dag om zeven uur thuis.	m	0	misc	0	4
151	A2+	Grieks	Als heb ik tijd op weekend ga ik soms naar jogging.	Als heb ik tijd in het weekend, ga ik soms joggen.	Als ik tijd heb in het weekend, ga ik soms joggen.	s	f	verb-final	se fv s o a	4
152	B2	Nepalees	Ik vond het heel interresant om coderen te leren.	Ik vond het heel interessant om coderen te leren.	Ik vond het heel interessant om te leren coderen.	m	ic	post-verbal	s fv o a a om nfv te nfv	2
154	A2	Yoruba	Oefenen elke dag is belangrijk.	Oefenen elke dag is belangrijk.	Elke dag oefenen is belangrijk.	m	0	misc	0	5
155	A2	Yoruba	Praat met elkaar allen in Nederlands minstens twee uur per dag.	Praat met elkaar alleen Nederlands minstens twee uur per dag.	Praat minstens twee uur per dag alleen Nederlands met elkaar.	m	0	misc	0	4
158	A2	Yoruba	Tenslotte, mijn favoriete woord in Nederlands "Uitnodiging" is.	Ten slotte "uitnodiging" mijn favoriete woord in het Nederlands is.	Ten slotte is "uitnodiging" mijn favoriete woord in het Nederlands.	m	f	verb-second	a s o a fv	4
159	A2	Spaans	Zullen we gaan donderdagavond naar een restaurant eten?	Zullen we gaan donderdagavond op restaurant eten?	Zullen we donderdagavond op restaurant gaan eten?	p	nf	verb-final	fv s nfv a a nfv	4
160	A2	Hindi	Hij heeft dat ik griep heb gezegd.	Hij heeft dat ik griep heb gezegd.	Hij heeft gezegd dat ik griep heb.	m	nf	verb-final	s fv fc nfv	5
163	A2	Turks	Voor mij, de combinatie van die twee vaken was het best.	Voor mij de combinatie van die twee vakken was het beste.	Voor mij was de combinatie van die twee vakken het beste.	m	f	verb-second	a s fv o	5
164	A2	Frans	Ongeveer overal vinden we speelplaatjes waar kinderen kunnen hun zich goed amuseren.	Bijna overal vinden we speelplaatsen waar kinderen kunnen zich goed amuseren.	Bijna overal vinden we speelplaatsen waar kinderen zich goed kunnen amuseren.	s	nf	verb-final	se s fv m a nfv	5
165	A2	Turks	Deze tekst gaat over het milieu, of meer precies, hoe kunnen wij het milieu verbeteren.	Deze tekst gaat over het milieu, of meer precies, hoe kunnen we het milieu verbeteren.	Deze tekst gaat over het milieu, of meer precies, hoe we het milieu kunnen verbeteren.	s	f	verb-final	se fv s o nfv	4
166	A2	Turks	Voor zover ik weet de landen doen nog niet genoeg om de milieuvervuiling te verminderen.	Voor zover ik weet de landen doen nog niet genoeg om milieuvervuiling te verminderen.	Voor zover ik weet doen de landen nog niet genoeg om milieuvervuiling te verminderen.	m	f	verb-second	fc s fv a a a om o te nfv	3
167	A2	Portugees	Als je iets wil koppen, misschien zijn de winkelcentra de beste opties.	Als je iets wil kopen misschien zijn winkelcentra de beste optie.	Als je iets wil kopen zijn winkelcentra misschien de beste optie.	m	f	verb-second	fc a fv s o	4
168	A2	Spaans	Bovendien het idee dat politieke partijen hun geld zelf verzamelen is slim.	Bovendien het idee dat politieke partijen hun geld zelf verzamelen is slim.	Bovendien is het idee dat politieke partijen hun geld zelf verzamelen slim.	m	f	verb-second	a s fc fv a	4
170	A2	Turks	Bijvoorbeeld sorteer ik meestal het afval.	Bijvoorbeeld sorteer ik meestal het afval.	Ik sorteer bijvoorbeeld meestal het afval.	m	0	misc	0	5
171	A2	Engels	Ik was om 7 uur wakker, stond ik op en nam ik een douche.	Stond ik op en nam een douche.	Ik stond op en nam een douche.	m	f	verb-second	fv s m	5
172	B1	Frans	Verder een professionele kok zijn betekent snel en onder druk werken om de klanten goed te serveren.	Verder een professionele kok zijn betekent snel en onder druk werken om de klanten goed te bedienen.	Verder betekent een professionele kok zijn snel en onder druk werken om de klanten goed te bedienen.	m	f	verb-second	a s fv a m a nfv om o a te nfv	4
174	A2	Turks	Later leerden wij dat een vrouw hartpijn had en viel middel op de weg.	Later leerden we dat een vrouw hartpijn had en viel midden op de weg.	Later leerden we dat een vrouw hartpijn had en midden op de weg viel.	s	f	verb-final	se s o fv ce fv a a	4
175	A2	Turks	De eerste dagen zwemmen we veel,de volgende dagen mischien kunnen we balontuur maken.	De volgende dagen misschien kunnen we een ballonvaart maken.	Misschien kunnen we de volgende dagen een ballonvaart maken.	m	f	verb-second	a a fv s o nfv	3
176	B2	Duits	Maar om iets goed inschatten of beoordelen te kunnen, hebben mensen zowel relevante informatie als de tools om hun eigen gedrag en hun eigen meningen te reflecteren nodig.	Maar om iets goed inschatten of beoordelen te kunnen, hebben mensen zowel relevante informatie als de tools om hun eigen gedrag en meningen te reflecteren nodig.	Maar om iets goed te kunnen inschatten of beoordelen, hebben mensen zowel relevante informatie als de tools nodig om hun eigen gedrag en meningen te reflecteren.	s	ic	post-verbal	a om o a nfv m nfv te nfv	3
176	B2	Duits	Maar om iets goed inschatten of beoordelen te kunnen, hebben mensen zowel relevante informatie als de tools om hun eigen gedrag en hun eigen meningen te reflecteren nodig.	Maar om iets goed inschatten of beoordelen te kunnen, hebben mensen zowel relevante informatie als de tools om hun eigen gedrag en meningen te reflecteren nodig.	Maar om iets goed te kunnen inschatten of beoordelen, hebben mensen zowel relevante informatie als de tools nodig om hun eigen gedrag en meningen te reflecteren.	m	ic	post-verbal	m fv s o om o te nfv a	3
