Index	Level	Language	Sentence	Normalized	Corrected	Clause_type	Verb_type	Error_type	Clause_structure	Annotated
158	A2	Yoruba	"Tenslotte, mijn favoriete woord in Nederlands ""Uitnodiging"" is."	"Ten slotte ""uitnodiging"" mijn favoriete woord in het Nederlands is."	"Ten slotte is ""uitnodiging"" mijn favoriete woord in het Nederlands."	m	f	verb-second	a s o a fv	human
159	A2	Spaans	Zullen we gaan donderdagavond naar een restaurant eten?	Zullen we gaan donderdagavond op restaurant eten?	Zullen we donderdagavond op restaurant gaan eten?	p	nf	verb-final	fv s nfv a a nfv	human
160	A2	Hindi	Hij heeft dat ik griep heb gezegd.	Hij heeft dat ik griep heb gezegd.	Hij heeft gezegd dat ik griep heb.	m	nf	verb-final	s fv fc nfv	human
163	A2	Turks	Voor mij, de combinatie van die twee vaken was het best.	Voor mij de combinatie van die twee vakken was het beste.	Voor mij was de combinatie van die twee vakken het beste.	m	f	verb-second	a s fv o	human
164	A2	Frans	Ongeveer overal vinden we speelplaatjes waar kinderen kunnen hun zich goed amuseren.	Bijna overal vinden we speelplaatsen waar kinderen kunnen zich goed amuseren.	Bijna overal vinden we speelplaatsen waar kinderen zich goed kunnen amuseren.	s	nf	verb-final	se s fv m a nfv	human
165	A2	Turks	Deze tekst gaat over het milieu, of meer precies, hoe kunnen wij het milieu verbeteren.	Deze tekst gaat over het milieu, of meer precies, hoe kunnen we het milieu verbeteren.	Deze tekst gaat over het milieu, of meer precies, hoe we het milieu kunnen verbeteren.	s	f	verb-final	se fv s o nfv	human
166	A2	Turks	Voor zover ik weet de landen doen nog niet genoeg om de milieuvervuiling te verminderen.	Voor zover ik weet de landen doen nog niet genoeg om milieuvervuiling te verminderen.	Voor zover ik weet doen de landen nog niet genoeg om milieuvervuiling te verminderen.	m	f	verb-second	fc s fv a a a om o te nfv	human
167	A2	Portugees	Als je iets wil koppen, misschien zijn de winkelcentra de beste opties.	Als je iets wil kopen misschien zijn winkelcentra de beste optie.	Als je iets wil kopen zijn winkelcentra misschien de beste optie.	m	f	verb-second	fc a fv s o	human
168	A2	Spaans	Bovendien het idee dat politieke partijen hun geld zelf verzamelen is slim.	Bovendien het idee dat politieke partijen hun geld zelf verzamelen is slim.	Bovendien is het idee dat politieke partijen hun geld zelf verzamelen slim.	m	f	verb-second	a s fc fv a	human
171	A2	Engels	Ik was om 7 uur wakker, stond ik op en nam ik een douche.	Stond ik op en nam een douche.	Ik stond op en nam een douche.	m	f	verb-second	fv s m	human
172	B1	Frans	Verder een professionele kok zijn betekent snel en onder druk werken om de klanten goed te serveren.	Verder een professionele kok zijn betekent snel en onder druk werken om de klanten goed te bedienen.	Verder betekent een professionele kok zijn snel en onder druk werken om de klanten goed te bedienen.	m	f	verb-second	a s fv a m a nfv om o a te nfv	human
174	A2	Turks	Later leerden wij dat een vrouw hartpijn had en viel middel op de weg.	Later leerden we dat een vrouw hartpijn had en viel midden op de weg.	Later leerden we dat een vrouw hartpijn had en midden op de weg viel.	s	f	verb-final	se s o fv ce fv a a	human
175	A2	Turks	De eerste dagen zwemmen we veel,de volgende dagen mischien kunnen we balontuur maken.	De volgende dagen misschien kunnen we een ballonvaart maken.	Misschien kunnen we de volgende dagen een ballonvaart maken.	m	f	verb-second	a a fv s o nfv	human
176	B2	Duits	Maar om iets goed inschatten of beoordelen te kunnen, hebben mensen zowel relevante informatie als de tools om hun eigen gedrag en hun eigen meningen te reflecteren nodig.	Maar om iets goed inschatten of beoordelen te kunnen, hebben mensen zowel relevante informatie als de tools om hun eigen gedrag en meningen te reflecteren nodig.	Maar om iets goed te kunnen inschatten of beoordelen, hebben mensen zowel relevante informatie als de tools nodig om hun eigen gedrag en meningen te reflecteren.	s	ic	post-verbal	a om o a nfv m nfv te nfv	human
176	B2	Duits	Maar om iets goed inschatten of beoordelen te kunnen, hebben mensen zowel relevante informatie als de tools om hun eigen gedrag en hun eigen meningen te reflecteren nodig.	Maar om iets goed inschatten of beoordelen te kunnen, hebben mensen zowel relevante informatie als de tools om hun eigen gedrag en meningen te reflecteren nodig.	Maar om iets goed te kunnen inschatten of beoordelen, hebben mensen zowel relevante informatie als de tools nodig om hun eigen gedrag en meningen te reflecteren.	m	ic	post-verbal	m fv s o om o te nfv a	human
177	B1	Deens	Ik hou van wiskunde want het heel logisch is, maar ook want ik goed aan het ben.	Ik hou van wiskunde want het heel logisch is.	Ik hou van wiskunde want het is heel logisch.	m	f	verb-second	s a a fv	human
180	A2	Russisch	Naturlijk, wij zullen naar de nieuw restaurant gaan.	Natuurlijk we zullen naar het nieuwe restuarant gaan.	Natuurlijk zullen we naar het nieuwe restaurant gaan.	m	f	verb-second	a s fv po nfv	human
183	B2	Portugees	Toen ik opnieuw begon, binnenkort konden we niet langer naar lees gaan door Covid-19.	Toen ik opnieuw begon, binnenkort konden we niet langer naar de les gaan vanwege Covid-19.	Toen ik opnieuw begon, konden we binnenkort niet langer naar de les gaan vanwege Covid-19.	m	f	verb-second	fc a fv s a a po nfv pc	human
184	B2	Portugees	Nu dat ik terug ben in Blended Learning, was het gemakkelijker en ook effectief om naar les te gaan 1 keer per week en daarna thuis studeren.	Nu ik terug ben in Blended Learning, was het gemakkelijker en ook effectiever om naar de les te gaan één keer per week en daarna thuis te studeren.	Nu ik terug ben in Blended Learning, was het gemakkelijker en ook effectiever om één keer per week naar de les te gaan en daarna thuis te studeren.	m	ic	post-verbal	fc fv s a om po te nfv a	human
186	B2	Portugees	Door te worden blootgesteld aan de taal en proberen het te begrijpen, werd ik beter.	Door te worden blootgesteld aan de taal en te proberen het te begrijpen, word ik beter.	Door blootgesteld te worden aan de taal en te proberen het te begrijpen, word ik beter.	m	ic	post-verbal	p te nfv nfv po m fv s a	human
188	B2	Portugees	Wel probeer ik podcasts in het Nederlands te luisteren, zoals Universiteit van Vlaanderen, en ik denk dat het helpt mij om meer gesproken Nederlands te begrijpen.	Ik denk dat het helpt mij om gesproken Nederlands beter te begrijpen.	Ik denk dat het mij helpt om gesproken Nederlands beter te begrijpen.	s	f	verb-final	se s fv o om a o a te nfv	human
192	A2+	Spaans	Anderzijds, journalistiek veel onderzoek vergt, wat ik spannend en leuk vind.	Anderzijds journalistiek veel onderzoek vergt, wat ik spannend en leuk vind.	Anderzijds vergt journalistiek veel onderzoek, wat ik spannend en leuk vind.	m	f	verb-second	a s a o fv	human
193	A2+	Spaans	Ook, journalisten met roeping en bereid om de wereld te reizen op naar niews te zoeken nodig zijn.	Ook journalisten met roeping en de bereidheid om de wereld rond te reizen om naar nieuws te zoeken nodig zijn.	Ook zijn journalisten met roeping en de bereidheid om de wereld rond te reizen om naar nieuws te zoeken nodig.	m	f	verb-second	a s m a fv	human
194	A2	Arabisch	3 weken geleden heeft hij een probleem met zijn auto, dan hij heeft 2 uur te laat gekomen, en de vorige week, heeft hij 3 dagen ziek geweest.	Toen hij is 2 uur te laat gekomen.	Toen is hij 2 uur te laat gekomen.	m	f	verb-second	a s fv a a nfv	human
195	A2	Arabisch	Elly is een ex-stewardess, ze heeft vertrokken haar werk omdat ze heeft nooit stewardess willen zijn, ze heeft altjid een winkel willen hebben.	Ze is gestopt met haar werk omdat ze had nooit stewardess willen zijn.	Ze is gestopt met haar werk omdat ze nooit stewardess had willen zijn.	s	f	verb-final	se s fv a o nfv nfv	human
198	A2	Turks	Ik vind leuk over Belgie is dat zijn er heel veel parks.	Wat ik leuk vind aan België is dat zijn er heel veel parken.	Wat ik leuk vind aan België is dat er heel veel parken zijn.	s	f	verb-final	se fv m a a s	AI
201	A2	Russisch	Ik begrijp echter dat elk land wil zijn identiteit houden en dat vind ik logisch.	Ik begrijp echter dat elk land wil zijn identiteit behouden en dat vind ik logisch.	Ik begrijp echter dat elk land zijn identiteit wil behouden en dat vind ik logisch.	s	f	verb-final	se s fv o nfv	AI
202	A2	Russisch	Hoewel ik toen al drie jaar in België woonde, toch vond ik de cursus heel nuttig.	Hoewel ik toen al drie jaar in België woonde, toch vond ik de cursus heel nuttig.	Hoewel ik toen al drie jaar in België woonde, vond ik de cursus toch heel nuttig.	m	f	verb-second	m a fv s o a a	AI
203	B1+	Frans	Persoonlijk heb ik dat nooit gebruikt want ik ben al getrouwd, een ideale partner volgens mij is de persoon die altijd klaar staat voor jouw zowel op goede als slechte momenten en die voor je zorgt wanneer het slecht gaat!	Een ideale partner volgens mij is degene die altijd voor je klaarstaat, zowel in goede als slechte momenten, en die voor je zorgt wanneer het slecht gaat!	Volgens mij is een ideale partner degene die altijd voor je klaarstaat, zowel in goede als slechte momenten, en die voor je zorgt wanneer het slecht gaat!	m	f	verb-second	o a fv s m	AI
204	B1+	Catalaans	Hoewel Didier al jaren deel uit van het team maakt, voelde hij nooit verantwoordelijk voor zijn werk.	Hoewel Didier al jaren deel van het team uitmaakt, voelde hij nooit verantwoordelijkheid voor zijn werk.	Hoewel Didier al jaren deel uitmaakt van het team, voelde hij nooit verantwoordelijkheid voor zijn werk.	s	f	verb-final	se s a m pc fv	AI
